,who,what,when,where,why,how,text
0,0,0,0,0,0,0,"South Korea pardons ex-president Park Geun-hye 

https://t.co/2oF18HKyTR"
1,UK,to phase out Russian oil imports,0,0,UK,"out Russian oil imports by end of this year ,","UK to phase out Russian oil imports by end of this year, minister says, as part of its response to invasion of Ukraine

https://t.co/ER7vvOIAG0"
2,0,0,0,0,One million refugees,as Russian invasion continues https://t.co/xPs3Z3vVFn .,"One million refugees have now fled Ukraine to neighbouring countries, the UN says, as Russian invasion continues https://t.co/xPs3Z3vVFn"
3,UK,announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russia 's invasion of Ukraine https://t.co/6kNfucEq6y,0,0,UK,on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russia,"UK announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russia's invasion of Ukraine

https://t.co/6kNfucEq6y"
4,Russia,kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union,0,0,Russia,0,"Russia kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union following Ukraine invasion

https://t.co/pZ7uOWtOMU https://t.co/ihqQPcbki5"
5,Woman in her 30s,dies in London after tree,0,0,tree,"tree falls on car , as Storm Eunice lashes UK","Woman in her 30s dies in London after tree falls on car, as Storm Eunice lashes UK

https://t.co/bHiqmlYmr2"
6,Russia,are being pulled out from Ukraine border https://t.co/Sl4Lyn9Qwg,0,0,0,0,Russia says some of its troops are being pulled out from Ukraine border https://t.co/Sl4Lyn9Qwg
7,UK economy,grew by 7.5 Percent last year despite Omicron causing slowdown,0,0,UK economy,0,UK economy grew by 7.5 Percent last year despite Omicron causing slowdown https://t.co/Tn9PYhzATT
8,"Indian singing icon Lata Mangeshkar , the “ Nightingale of Bollywood ” ,",dies at 92 https://t.co/ZsLtjwWUH1,0,0,0,"Indian singing icon Lata Mangeshkar , the “ Nightingale of","Indian singing icon Lata Mangeshkar, the “Nightingale of Bollywood”, dies at 92 https://t.co/ZsLtjwWUH1"
9,Nine - year - old boy,dies,0,0,tree,tree falls on them in Staffordshire during Storm Malik https://t.co/kuw98xKyTV,Nine-year-old boy dies and a man is in hospital after tree falls on them in Staffordshire during Storm Malik https://t.co/kuw98xKyTV
10,the UK government,confirms https://t.co/JlutoZcMTG,4 am on 11 February,0,fully vaccinated travellers,for fully vaccinated travellers arriving in England to be scrapped,"Covid tests for fully vaccinated travellers arriving in England to be scrapped from 4am on 11 February, the UK government confirms

https://t.co/JlutoZcMTG"
11,0,0,0,0,0,whose bombastic rock operas catapulted him to the status of,"Obituary: Meat Loaf, the singer whose bombastic rock operas catapulted him to the status of musical icon https://t.co/DeAXmp3uns"
12,UK,cost of living rises,December,0,UK,its fastest pace for 30 years https://t.co/JsRkkCnmED .,"UK cost of living rises by 5.4 Percent in the 12 months to December, its fastest pace for 30 years https://t.co/JsRkkCnmED"
13,0,0,0,South Pacific,0,after giant underwater volcano eruption sends shockwaves across South Pacific,Tsunami hits Tonga after giant underwater volcano eruption sends shockwaves across South Pacific https://t.co/rKkTYEmP2W
14,Novak Djokovic ’s appeal over his deportation from Australia,adjourned until Monday https://t.co/GyWv5UxzK4,Monday,0,0,0,Novak Djokovic’s appeal over his deportation from Australia adjourned until Monday https://t.co/GyWv5UxzK4
15,Travellers to England,will not need pre-departure Covid test and will only need a lateral flow test,0,0,Travellers to England,need pre-departure Covid test and will only need a lateral,"Travellers to England will not need pre-departure Covid test and will only need a lateral flow test within two days of arriving, PM Boris Johnson says

https://t.co/gEWRtNEPvO"
16,0,0,0,0,0,unidentified projectile ' into sea https://t.co/yNtpJxB36l .,"North Korea launches 'unidentified projectile' into sea

https://t.co/yNtpJxB36l"
17,Spice Girl Mel B,gets an https://t.co/RaSX5xsD8E,0,0,Joanna Lumley,0,"Chris Whitty, Jonathan Van-Tam and Tony Blair are knighted, Joanna Lumley is made a dame, and Spice Girl Mel B gets an https://t.co/RaSX5xsD8E"
18,UK Chancellor Rishi Sunak,announces £ 1bn,0,0,0,hospitality firms hit by Covid https://t.co/O3bXvTkzJJ,UK Chancellor Rishi Sunak announces £1bn fund for hospitality firms hit by Covid https://t.co/O3bXvTkzJJ
19,UK Prime Minister Boris Johnson “ reserves possibility ” of further Covid measures in England,but says there,0,0,there,“ still some things we need to be clearer about,"UK Prime Minister Boris Johnson “reserves possibility” of further Covid measures in England, but says there are “still some things we need to be clearer about” 

https://t.co/ddWfD2tfsM"
20,Tennis player Emma Raducanu,named BBC Sports Personality,0,0,0,0,Tennis player Emma Raducanu named BBC Sports Personality of the Year 2021 https://t.co/jowZ7Zv16y
21,all 11 countries,will be removed from its travel red list,4 am on Wednesday,0,0,travel red list from 4 am on Wednesday https://t.co/MbOc6rzJVo .,"UK government says all 11 countries will be removed from its travel red list from 4am on Wednesday

https://t.co/MbOc6rzJVo"
22,0,0,0,0,Travellers heading to UK,have Covid test before their departure in effort to limit,"Travellers heading to UK will now have to have Covid test before their departure in effort to limit spread of virus, government says https://t.co/suZ90Ue2ci"
23,0,0,0,0,0,Giant ash cloud sends people sprinting for cover after volcano,Giant ash cloud sends people sprinting for cover after volcano erupts in Indonesia https://t.co/K5geCqdncL
24,Women 's Tennis Association,announces immediate suspension,0,0,0,announces immediate suspension of all tournaments in China over concern,Women's Tennis Association announces immediate suspension of all tournaments in China over concern for Chinese tennis player Peng Shuai https://t.co/oXwoLjiAfj
25,Six cases of Omicron coronavirus variant,identified in Scotland,0,0,0,0,Six cases of Omicron coronavirus variant identified in Scotland https://t.co/JQ1lteU48Z
26,Prime Minister Boris Johnson,announces https://t.co/jEVQjN6dK1,0,0,Anyone entering UK,0,"Anyone entering UK must take a PCR test, face mask rules are to be tightened and booster jabs policy overhauled, Prime Minister Boris Johnson announces 
https://t.co/jEVQjN6dK1"
27,All over-40s,should be offered Covid vaccine booster jabs,0,0,All over-40s,0,"All over-40s should be offered Covid vaccine booster jabs, UK government vaccine advisors say https://t.co/ps4BRBblBx"
28,Prince Charles,lays a wreath,Sunday,Cenotaph,Prince Charles,part of Remembrance,"Prince Charles lays a wreath on behalf of the Queen at the Cenotaph in London as part of Remembrance Sunday commemorations 

https://t.co/XuejYXPoaP https://t.co/gvWfdu4qf1"
29,The Queen,will not attend the Remembrance Sunday service,Sunday,Cenotaph,because she has sprained her back https://t.co/QwDciTp2JL .,her back https://t.co/QwDciTp2JL .,"The Queen will not attend the Remembrance Sunday service at the Cenotaph in London because she has sprained her back

https://t.co/QwDciTp2JL"
30,Britney Spears,released from conservatorship,0,0,Britney Spears,0,Britney Spears released from conservatorship that controlled parts of her life after 13 years https://t.co/IZ9lmhPWHG
31,0,0,0,0,pledges,on course to heat by 2.4 C despite pledges made,"World on course to heat by 2.4C despite pledges made at COP26 climate summit, analysis suggests

#COP26BBC https://t.co/Yd1hmFjZHi"
32,the BBC,"has been told , with workers",0,0,workers,"be fully vaccinated against Covid , the BBC has been","Frontline NHS staff in England will have to be fully vaccinated against Covid, the BBC has been told, with workers given until spring to have both jabs https://t.co/cx7PyTH1gO"
33,Conservative Owen Paterson 's suspension,put on hold vote to review the way,0,0,0,Conservative Owen Paterson 's suspension put on hold as UK,"Conservative Owen Paterson's suspension put on hold as UK MPs vote to review the way their behaviour is policed

https://t.co/KeYdMJ4aEp"
