,who,what,when,where,why,how,text
0,0,0,0,0,0,mourn ex-First Lady Anne Chidzira Muluzi .,Malawians mourn ex-First Lady Anne Chidzira Muluzi
1,0,0,0,0,0,passes medical marijuana bill .,Costa Rica Congress passes medical marijuana bill
2,0,0,0,0,0,Nazi guard 's son finds propaganda in loft .,Nazi guard's son finds propaganda in loft
3,0,0,0,0,0,0,Credit Suisse fined over Mozambique tuna scandal
4,0,0,0,0,0,Confederate general Robert E Lee removed in Virginia .,Statue of American Confederate general Robert E Lee removed in Virginia
5,0,0,0,0,0,0,Cristiano Ronaldo statue divides opinion in India
6,0,0,0,0,0,Russian oligarchs ' super yachts seized .,Russian oligarchs' super yachts seized
7,0,0,0,0,0,Colombian star apologises for controversial Perra music video .,Colombian star apologises for controversial Perra music video
8,0,0,0,0,0,shot dead .,Ecuador sprinter Alex Quiñónez shot dead
9,0,0,0,0,0,ex-spy chief Hugo Carvajal to US .,Spain to extradite Venezuela's ex-spy chief Hugo Carvajal to US
10,0,0,0,0,Malala Yousafzai,0,Malala Yousafzai urges Taliban to allow girls' education
11,0,0,0,Africa,0,agricultural system to increase food security in Africa .,Songhaï: A 'zero waste' agricultural system to increase food security in Africa
12,0,0,0,0,0,0,Hungary: Mayor Marki-Zay wins run-off to challenge Orban
13,0,0,0,0,0,US missionary kidnap .,Haiti kidnap: 400 Mawozo accused of US missionary kidnap
14,0,0,0,0,0,0,Pablo Escobar: Colombia sterilises drug lord's hippos
15,0,0,0,0,0,Kenyan child serial killer Masten Wanjala killed by mob .,Kenyan child serial killer Masten Wanjala killed by mob
16,0,0,0,0,Nigeria 's Tiwa Savage,0,Nigeria's Tiwa Savage reveals sex tape blackmail
17,0,0,0,São Paulo,Strong winds,"Strong winds cause sandstorm in São Paulo , Brazil .","Strong winds cause sandstorm in São Paulo, Brazil"
18,0,0,0,0,0,0,Israel accuses Iran over Cyprus alleged hitman plot
19,0,0,0,0,0,New volcanic eruptions on La Palma .,New volcanic eruptions on La Palma
20,0,0,0,0,0,0,Rwanda genocide 'kingpin' Théoneste Bagosora dies in prison
21,0,0,0,0,0,Catalan separatist Carles Puigdemont arrested in Italy .,Catalan separatist Carles Puigdemont arrested in Italy
22,0,0,0,0,0,0,La Palma volcano lava engulfs homes and swimming pools
23,0,0,0,Canary Islands,0,0,"Lava destroys homes in La Palma, Canary Islands"
24,0,0,0,0,Politicians,0,Politicians condemn protest at Leo Varadkar's home
25,0,0,0,Riverdance,US TikTok star Morgan Bullock,makes professional debut in Riverdance .,US TikTok star Morgan Bullock makes professional debut in Riverdance
26,0,0,0,0,0,recaptures final Palestinian escapees .,Israel recaptures final Palestinian escapees
27,0,0,0,0,Dutch Foreign Minister Sigrid Kaag,Dutch Foreign Minister Sigrid Kaag quits over Afghanistan chaos .,Dutch Foreign Minister Sigrid Kaag quits over Afghanistan chaos
28,0,0,0,0,0,Former French health minister Agnès Buzyn under investigation .,Former French health minister Agnès Buzyn under investigation
29,0,0,0,Tiananmen,0,under national security law .,Hong Kong Tiananmen vigil organisers charged under national security law
30,0,0,0,0,0,0,Nicaragua orders arrest of award-winning author Sergio Ramírez
31,0,0,0,Tiananmen,0,0,Hong Kong's Tiananmen vigil organisers arrested
32,0,0,0,0,0,opposition figures Kolesnikova and Znak,Belarus jail terms for opposition figures Kolesnikova and Znak
33,0,0,0,0,0,'s prime minister .,Yoshihide Suga to step down as Japan's prime minister
34,0,0,0,0,0,irresistible ' Parallel Mothers opens Venice Film Festival .,Pedro Almodovar's 'irresistible' Parallel Mothers opens Venice Film Festival
35,0,0,0,0,0,Indian TV actor Siddharth Shukla dies at 40 .,Indian TV actor Siddharth Shukla dies at 40
36,0,0,0,0,0,Danish ex-immigration minister faces impeachment trial .,Inger Stoejberg: Danish ex-immigration minister faces impeachment trial
37,0,0,0,Kashmir,0,'s separatist patriarch dies aged 92 .,Syed Ali Geelani: Kashmir's separatist patriarch dies aged 92
38,0,0,0,Kandahar,0,0,Afghanistan: Taliban parade captured equipment in Kandahar
39,0,0,0,Paraná,0,year low .,South America's drought-hit Paraná river at 77-year low
40,0,0,0,0,0,claims military gains to halt Tigrayan rebels .,Ethiopia claims military gains to halt Tigrayan rebels
41,0,0,0,0,0,0,Oscar Pistorius set to meet victim Reeva Steenkamp's parents
42,0,0,0,0,0,Kashmiri human rights activist Khurram Parvez under anti-terrorism law .,India arrests Kashmiri human rights activist Khurram Parvez under anti-terrorism law
43,0,0,0,0,Narendra Modi,repeals controversial farm laws .,India PM Narendra Modi repeals controversial farm laws
44,0,0,0,0,0,Malaysian transgender woman Nur Sajat : ' I had to,Malaysian transgender woman Nur Sajat: 'I had to run away'
45,0,0,0,0,JP Morgan,$ 162m after Elon Musk 2018 tweets,JP Morgan sues Tesla for $162m after Elon Musk 2018 tweets
46,0,0,0,0,Aung San Suu Kyi,0,Aung San Suu Kyi charged with election fraud by Myanmar junta
47,0,0,0,0,0,hit Ugandan capital Kampala .,Explosions hit Ugandan capital Kampala
48,0,0,0,Bali,0,masterminding Bali bombings,Indonesia jails man for masterminding Bali bombings
49,0,0,0,Capitol,0,0,US Capitol riot committee issues subpoena to Rudy Giuliani
50,0,0,0,0,0,’s super mum tigress Collarwali .,Remembering India’s super mum tigress Collarwali
51,0,0,0,0,0,Tonga eruption,Tsunami hits coasts after Tonga eruption
52,0,0,0,0,0,British woman reported missing after Tonga tsunami .,British woman reported missing after Tonga tsunami
53,0,0,0,0,0,dies aged 76 .,Ousted Mali president Ibrahim Boubacar Keïta dies aged 76
54,0,0,0,0,Somali spokesman Mohamed Ibrahim Moalimuu,Somali spokesman Mohamed Ibrahim Moalimuu injured in explosion in Mogadishu,Somali spokesman Mohamed Ibrahim Moalimuu injured in explosion in Mogadishu
55,0,0,0,0,0,0,Novak Djokovic's visa drama in 90 seconds
56,0,0,0,0,0,0,Jovenel Moïse murder: Ex-senator arrested in Jamaica
57,0,0,0,0,Novak Djokovic,detained ahead of Australian visa appeal .,Novak Djokovic detained ahead of Australian visa appeal
58,0,0,0,0,0,0,REvil ransomware gang arrested in Russia
59,0,0,0,0,0,0,Is a rebellion brewing in Narendra Modi's Bharatiya Janata Party?
60,0,0,0,0,0,0,Opera singer Maria Ewing dies at 71
61,0,0,0,0,0,0,Oscar-winning lyricist Marilyn Bergman dies at 93
62,0,0,0,0,0,questions Russian troop presence in Kazakhstan .,US questions Russian troop presence in Kazakhstan
63,0,0,0,0,0,0,Profile: Nicaragua's President Daniel Ortega
64,0,0,0,Chow Hang Tung,Hong Kong activist Chow Hang Tung,Tiananmen vigil,Hong Kong activist Chow Hang Tung gets 15 month term for Tiananmen vigil
65,Former Afghan president Ashraf Ghani,describes his escape,0,0,0,Former Afghan president Ashraf Ghani describes his escape from the,Former Afghan president Ashraf Ghani describes his escape from the Taliban
66,Prize - winning Ugandan novelist Kakwenza Rukirabashaija,detained,0,0,0,"winning Ugandan novelist Kakwenza Rukirabashaija detained , his lawyer confirms","Prize-winning Ugandan novelist Kakwenza Rukirabashaija detained, his lawyer confirms"
67,0,0,0,0,0,psychological trauma ' .,TikTok moderator sues over 'psychological trauma'
68,0,0,0,0,0,on unsold Christmas trees .,Berlin Zoo animals feast on unsold Christmas trees
69,0,0,0,0,0,Polish president vetoes controversial media law .,Andrzej Duda: Polish president vetoes controversial media law
70,0,0,0,0,0,"- powerful West African kingdom , dies .","Kêfa Sagbadjou Glèlè, monarch of once-powerful West African kingdom, dies"
71,0,0,0,0,0,At least 70 feared missing in jade mine landslide .,Myanmar: At least 70 feared missing in jade mine landslide
72,0,0,0,0,0,0,The Maasai TikTokers wowing Bollywood fans
73,0,0,0,0,0,Ethiopian civil war divides diaspora in the US .,Ethiopian civil war divides diaspora in the US
74,0,0,0,0,0,on Chinese Uyghur region .,US Congress passes import ban on Chinese Uyghur region
75,0,0,0,0,Danish ex-minister Inger Stoejberg,Danish ex-minister Inger Stoejberg jailed after impeachment trial .,Danish ex-minister Inger Stoejberg jailed after impeachment trial
76,0,0,0,Tiananmen,Hong Kong media mogul Jimmy Lai,Tiananmen vigil,Hong Kong media mogul Jimmy Lai gets 13 months in jail for Tiananmen vigil
77,0,0,0,0,0,0,Edward Fullerton: Man arrested over murder of Sinn Féin councillor
78,0,0,0,0,0,Former RTÉ producer jailed for child sex abuse .,Former RTÉ producer jailed for child sex abuse
79,0,0,0,0,0,0,Sigur Rós star's volcano exhibit showcases in New York
80,0,0,0,0,0,picks German punk singer Hagen for last serenade .,Merkel picks German punk singer Hagen for last serenade
81,0,0,0,0,0,videos humanise Colombia 's cocaine workers .,TikTok videos humanise Colombia's cocaine workers
82,0,0,0,Libya,0,'s foreign minister Najla El - Mangoush suspended and grounded,Libya's foreign minister Najla El-Mangoush suspended and grounded
83,0,0,0,0,0,0,Cork: Gardaí charge man in MP threat investigation
84,0,0,0,Diwali,0,0,India celebrates Diwali under shadow of Covid-19
85,0,0,0,0,0,bans foreign currencies in Afghanistan .,Taliban bans foreign currencies in Afghanistan
86,0,0,0,0,Canada,for indigenous children .,Canada challenges compensation order for indigenous children
87,0,0,0,0,0,0,Living with lava in La Palma 🌋
88,0,0,0,0,0,Eriksen unable to play for club after his cardiac arrest,Inter Milan midfielder Christian Eriksen unable to play for club after his cardiac arrest
89,0,0,0,0,Saudi Arabia,0,Saudi Arabia expels Lebanon ambassador amid Yemen row
90,0,0,0,0,0,Mako finally marries commoner boyfriend Kei Komuro .,Japan's Princess Mako finally marries commoner boyfriend Kei Komuro
91,0,0,0,0,0,hiring prostitute,Li Yundi: China's 'Piano Prince' detained for hiring prostitute
92,0,0,0,0,0,0,Scientists collect La Palma volcano samples
93,0,0,0,0,0,‘ emotional ’ museum in Stockholm .,Avicii fans touched by ‘emotional’ museum in Stockholm
94,0,0,0,0,Kennel hit by meteorite,0,Kennel hit by meteorite goes on sale
95,0,0,0,0,Nearly 200 still,Nearly 200 still missing in flood - hit Brazil,Petrópolis: Nearly 200 still missing in flood-hit Brazil city
96,0,0,0,0,0,0,Winter Olympics: Who is Kamila Valieva's coach Eteri Tutberidze?
97,0,0,0,0,0,Police clear demonstrators in Canada 's capital .,Police clear demonstrators in Canada's capital
98,0,0,0,0,Hopes,survivors in flood - hit Brazil city,Petrópolis: Hopes fade for survivors in flood-hit Brazil city
99,0,0,0,Petrópolis,0,Deadly landslides wreak havoc in Brazil 's Petrópolis .,Deadly landslides wreak havoc in Brazil's Petrópolis
100,0,0,0,0,0,0,King of Bollywood disco Bappi Lahiri dies at 69
101,0,0,0,0,Former inmates,Former inmates reveal horrific experiences .,Nigeria's prisons problem: Former inmates reveal horrific experiences
102,0,0,0,0,Met Police Federation,0,Met Police Federation has 'no faith' in London mayor Sadiq Khan
103,0,0,0,Chagos Islands,0,Mauritian flag raised on British - controlled Chagos Islands .,Mauritian flag raised on British-controlled Chagos Islands
104,0,0,0,Karnataka,Malala,0,India: Malala weighs into Karnataka hijab row
105,0,0,0,0,0,musical Koh - i - Noor ' .,Lata Mangeshkar: Shankar Mahadevan remembers India's 'musical Koh-i-Noor'
106,0,0,0,0,0,0,Novavax Covid jab approved by UK drugs regulator
107,0,0,0,0,0,Former Miss USA Cheslie Kryst dead at 30 .,Former Miss USA Cheslie Kryst dead at 30
108,0,0,0,0,Seven,in Kenyan bus ambush .,Seven killed in Kenyan bus ambush
109,0,0,0,0,0,against Venezuelan migrants .,Chileans protest against Venezuelan migrants
110,0,0,0,São Paulo,0,0,"Floods in São Paulo, Brazil, kill 19 and destroy homes"
111,0,0,0,0,0,'s giant crypto - mine .,Inside Kazakhstan's giant crypto-mine
112,0,0,0,0,EU,0,Lithuania-China row: EU escalates trade dispute with Beijing
113,0,0,0,Auschwitz,Dutch tourist,Dutch tourist fined over Nazi salute at former death,Auschwitz: Dutch tourist fined over Nazi salute at former death camp
114,0,0,0,Yaoundé,0,by deadly blaze .,"Liv's Night Club in Yaoundé, Cameroon hit by deadly blaze"
115,0,0,0,0,0,blackmailing men,Grindr scammer jailed for blackmailing men
116,0,0,0,0,0,an ecological disaster .,Peru oil spill after Tonga eruption an ecological disaster
117,0,0,0,0,Haridwar,arrested Hindu priest Yati Narsinghanand Saraswati ?,Haridwar hate speech: Who is the arrested Hindu priest Yati Narsinghanand Saraswati?
118,0,0,0,Sahara Desert,0,0,Snow falls in Algeria's Sahara Desert
119,0,0,0,0,0,by Russian missile .,Kyiv TV tower struck by Russian missile
120,0,0,0,Auschwitz,0,0,Auschwitz tattoo stamp auction in Jerusalem sparks fury
121,0,0,0,0,0,- neutral ' X ' passport .,US issues first gender-neutral 'X' passport
122,0,0,0,0,Jeff Bezos,0,Jeff Bezos unveils plans for 'space business park'
123,0,0,0,0,0,German anger as Russia shuts international broadcaster Deutsche Welle .,German anger as Russia shuts international broadcaster Deutsche Welle
124,0,0,0,0,Microsoft Chief Digital Officer,0,Microsoft Chief Digital Officer tops Powerlist
125,0,0,0,0,0,0,Lady Marmalade singer Sarah Dash dies at 76
126,0,0,0,0,0,0,Millionaire murderer Robert Durst dies in prison
127,0,0,0,Robben Island,0,cell key auction .,SA urges halt to Nelson Mandela's Robben Island prison cell key auction
128,0,0,0,0,0,Groundbreaking Italian film director Lina Wertmüller dies aged 93 .,Groundbreaking Italian film director Lina Wertmüller dies aged 93
129,The Russians,leaving their country,0,0,0,Finland,The Russians leaving their country for Finland
130,0,0,0,0,0,0,"Unite against climate change, Ukraine scientist says"
131,0,0,0,0,0,second biggest retailer H and M temporarily suspends all sales,World's second biggest retailer H and M temporarily suspends all sales in Russia
132,0,0,0,Europe,0,'s largest nuclear plant shelled in Ukraine .,Europe's largest nuclear plant shelled in Ukraine
133,0,0,0,0,0,Israeli PM meets Putin in Moscow .,Israeli PM meets Putin in Moscow
134,0,0,0,0,0,0,Ukraine: Thousands march in Kherson against occupiers
135,0,0,0,0,0,0,Jersey woman reunited with wedding ring after 60 years
136,0,0,0,0,0,0,Telecom company Ericsson breached US deal over Iraq corruption probe
137,0,0,0,0,0,Australian soap Neighbours will end this summer after 37 years,"Australian soap Neighbours will end this summer after 37 years, producers confirm"
138,0,0,0,0,0,the mega-rich Russians facing sanctions ?,Who are the mega-rich Russians facing sanctions?
139,0,0,0,0,0,0,Russia and Belarus athletes not allowed to compete at Winter Paralympics 2022
140,0,0,0,0,Stonehenge,"a solar calendar , according to research .","Stonehenge was a solar calendar, according to research"
141,0,0,0,0,0,Russian troops take control of key city of Kherson,Ukraine: Russian troops take control of key city of Kherson - mayor
142,0,0,0,Guernsey,0,0,Guernsey marina programme drilling work to start
143,0,0,0,0,0,for Ukrainian ambassador at Biden 's State of the Union,Standing ovation for Ukrainian ambassador at Biden's State of the Union address
144,0,0,0,St Helier,Developers,0,"Developers plan apartment hotel, flats and houses in St Helier"
145,0,0,0,0,Banksy,millions at auction,Banksy works sell for millions at auction
146,0,0,0,0,0,Russian forces claim control of Ukrainian port city Kherson and,Russian forces claim control of Ukrainian port city Kherson and begin to surround others
147,0,0,0,0,0,removes Russian team from Fifa 22 .,EA removes Russian team from Fifa 22
148,0,0,0,Kharkiv,0,university ablaze after Russian missile hit .,Kharkiv university ablaze after Russian missile hit
149,0,0,0,0,0,0,Sky News journalist Stuart Ramsay and team shot at in Ukraine ambush
150,0,0,0,0,0,0,Thousands march in Ukraine's city of Kherson against Russian occupiers
151,0,0,0,0,US,0,"US does not seek regime change in Russia, says Secretary of State"
152,0,0,0,0,Fitbit,recalls Ionic watch following skin burns .,Fitbit recalls Ionic watch following skin burns
153,0,0,0,0,0,0,Advice on accessing BBC News
154,Oil - producing nations,stick to their plan despite Ukraine,0,0,0,0,Oil-producing nations stick to their plan despite Ukraine
155,0,0,0,0,0,be Russian in north - eastern Ukraine .,Crowd surround car believed to be Russian in north-eastern Ukraine
156,My,is being shelled,0,0,0,wo n’t believe me ' .,"'My city is being shelled, but my mum in Russia won’t believe me'"
157,0,0,0,0,0,0,What no-fly zone means and why the West won't act
158,0,0,0,0,Netflix,0,Netflix pauses future projects in Russia
159,0,0,0,0,0,0,Everything you need to know about International Women's Day 2022
160,0,0,0,0,0,of pro-Russia Serbs march in Belgrade .,Thousands of pro-Russia Serbs march in Belgrade
161,0,0,0,0,0,monitoring Russian activity .,On board a Nato spy plane monitoring Russian activity
162,0,0,0,0,0,for Ukrainian ambassador at Biden speech .,Standing ovation for Ukrainian ambassador at Biden speech
163,0,0,3 March 2022,Africa,0,0,Africa's week in pictures: 25 February - 3 March 2022
164,0,0,0,0,0,Hectic crabs captured on underwater camera in Australia .,Hectic crabs captured on underwater camera in Australia
165,0,0,0,0,Ros Atkins,... Russian gas and oil .,Ros Atkins on...Russian gas and oil
166,0,0,0,0,Blue lobster,Blue lobster found by fisherman in one - in -,Blue lobster found by fisherman in one-in-two-million catch
167,0,0,0,0,0,very different audiences .,Biden's messages for four very different audiences
168,0,0,0,0,Reporter,blast lights up Kyiv 's sky,Reporter takes cover as blast lights up Kyiv's sky
169,0,0,0,0,Russia,Ukrainian families run for cover as Russia escalates bombing campaign,Ukrainian families run for cover as Russia escalates bombing campaign against cities
170,0,0,0,0,0,0,UK sanctions oligarchs Alisher Usmanov and Igor Shuvalov
171,0,0,0,0,0,Western Australia state reopens two years into the pandemic .,Western Australia state reopens two years into the pandemic
172,US,plans to raise rates,0,0,0,US central bank boss says he plans to raise rates,US central bank boss says he plans to raise rates
173,0,0,0,0,0,as neutral after Ukraine invasion .,Russia and Belarus Winter Paralympics athletes classed as neutral after Ukraine invasion
174,0,0,0,0,0,"Russians still bombing Mariupol despite ceasefire , says deputy mayor","Russians still bombing Mariupol despite ceasefire, says deputy mayor"
175,0,0,0,0,0,Pandora Papers,Chile's opposition launches bid to impeach President Sebastián Piñera after Pandora Papers
176,0,0,0,0,0,Toxic gas fears as lava reaches ocean .,La Palma volcano: Toxic gas fears as lava reaches ocean
177,0,0,0,Canary Islands,0,0,Thousands evacuated as Cumbre Vieja volcano erupts on La Palma in the Canary Islands
178,0,0,0,0,0,0,"Venezuela judiciary aiding repression, UN finds"
179,0,0,0,0,0,0,Leaders spar over China in Canada election debate
180,0,0,0,0,0,0,Mexico decriminalises abortion
181,0,0,0,0,0,0,Australia police arrest quarantine escapees
182,0,0,0,0,0,first female president .,Xiomara Castro: Honduras votes in first female president
183,0,0,0,0,Australia,0,Australia declares La Niña weather event has begun
184,0,0,0,Port City,0,A new Dubai or a Chinese enclave ?,Colombo Port City: A new Dubai or a Chinese enclave?
185,0,0,0,0,Novak Djokovic,loses Australian visa appeal .,Novak Djokovic loses Australian visa appeal
186,0,0,0,Silicon,0,0,Has Theranos changed Silicon Valley?
187,0,0,0,0,0,human error ' .,Novak Djokovic: Travel declaration mistake was 'human error'
188,0,0,0,0,Australia,0,Australia loses bid to delay Novak Djokovic's visa appeal
189,0,0,0,0,0,Mexican musical icon Vicente Fernández dies at 81 .,Mexican musical icon Vicente Fernández dies at 81
190,0,0,0,0,0,Colombian rebel commander ' El Paisa ' killed in,FARC: Colombian rebel commander 'El Paisa' killed in Venezuela
191,0,0,0,0,0,0,CNN fires presenter Chris Cuomo
192,0,0,0,0,0,0,Venezuela's hospital 'hell'
193,0,0,0,0,Narendra Modi,Indian PM Narendra Modi invites Pope Francis for visit .,Indian PM Narendra Modi invites Pope Francis for visit
194,0,0,0,Kharkiv,0,0,Ukraine: Explosions rock Kyiv and Ukraine second city Kharkiv
