,who,what,when,where,why,how,text
0,South Korea,pardons ex-president Park Geun-hye,0,South Korea,0,0,South Korea pardons ex-president Park Geun-hye
1,UK,"to phase out Russian oil imports , minister says , as part",0,UK,UK,"out Russian oil imports by end of this year ,","UK to phase out Russian oil imports by end of this year, minister says, as part of its response to invasion of Ukraine"
2,Russian invasion,continues,0,Ukraine,0,"to neighbouring countries , the UN says , as Russian","One million refugees have now fled Ukraine to neighbouring countries, the UN says, as Russian invasion continues"
3,UK,announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov,0,Russia,UK,on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russia,UK announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russia's invasion of Ukraine
4,Russia,kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union following Ukraine invasion,0,Russia,Russia,0,Russia kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union following Ukraine invasion
5,Storm Eunice,lashes UK,0,London,tree,"tree falls on car , as Storm Eunice lashes UK","Woman in her 30s dies in London after tree falls on car, as Storm Eunice lashes UK"
6,Russia,are being pulled out from Ukraine border,0,Russia,0,0,Russia says some of its troops are being pulled out from Ukraine border
7,UK economy,grew by 7.5 Percent last year,0,UK,Omicron,0,UK economy grew by 7.5 Percent last year despite Omicron causing slowdown
8,0,0,0,0,0,"Indian singing icon Lata Mangeshkar , the “ Nightingale of","Indian singing icon Lata Mangeshkar, the “Nightingale of Bollywood”, dies at 92"
9,a man,is in hospital after tree,0,Staffordshire,tree,tree falls on them in Staffordshire during Storm Malik,Nine-year-old boy dies and a man is in hospital after tree falls on them in Staffordshire during Storm Malik
10,the UK government,confirms,4am on 11 February,England,0,for fully vaccinated travellers arriving in England to be scrapped,"Covid tests for fully vaccinated travellers arriving in England to be scrapped from 4am on 11 February, the UK government confirms"
11,0,0,0,0,0,whose bombastic rock operas catapulted him to the status of,"Obituary: Meat Loaf, the singer whose bombastic rock operas catapulted him to the status of musical icon"
12,0,0,December,UK,0,its fastest pace for 30 years .,"UK cost of living rises by 5.4 Percent in the 12 months to December, its fastest pace for 30 years"
13,Tsunami,hits Tonga,0,South Pacific,0,after giant underwater volcano eruption sends shockwaves across South Pacific,Tsunami hits Tonga after giant underwater volcano eruption sends shockwaves across South Pacific
14,Djokovic,adjourned until Monday,Monday,Australia,0,0,Novak Djokovic’s appeal over his deportation from Australia adjourned until Monday
15,Travellers to England,will not need pre-departure Covid test and will only need a lateral flow test,0,England,Travellers to England,need pre-departure Covid test and will only need a lateral,"Travellers to England will not need pre-departure Covid test and will only need a lateral flow test within two days of arriving, PM Boris Johnson says"
16,North Korea,launches ' unidentified projectile,0,North Korea,0,' unidentified projectile ' into sea .,North Korea launches 'unidentified projectile' into sea
17,"Chris Whitty , Jonathan Van-Tam and Tony Blair",are knighted,0,0,Joanna Lumley,0,"Chris Whitty, Jonathan Van-Tam and Tony Blair are knighted, Joanna Lumley is made a dame, and Spice Girl Mel B gets an"
18,UK Chancellor Rishi Sunak,announces £ 1bn fund,0,UK,0,hospitality firms hit by Covid,UK Chancellor Rishi Sunak announces £1bn fund for hospitality firms hit by Covid
19,we,need to be clearer about ”,0,England,there,“ still some things we need to be clearer about,"UK Prime Minister Boris Johnson “reserves possibility” of further Covid measures in England, but says there are “still some things we need to be clearer about”"
20,Tennis player Emma Raducanu,named BBC Sports Personality,0,0,0,0,Tennis player Emma Raducanu named BBC Sports Personality of the Year 2021
21,all 11 countries,will be removed from its travel red list,4am on Wednesday,UK,0,travel red list from 4am on Wednesday .,UK government says all 11 countries will be removed from its travel red list from 4am on Wednesday
22,0,0,0,UK,Travellers heading to UK,have Covid test before their departure in effort to limit,"Travellers heading to UK will now have to have Covid test before their departure in effort to limit spread of virus, government says"
23,volcano,erupts in Indonesia,0,Indonesia,0,Giant ash cloud sends people sprinting for cover after volcano,Giant ash cloud sends people sprinting for cover after volcano erupts in Indonesia
24,Women 's Tennis Association,announces immediate suspension,0,China,0,announces immediate suspension of all tournaments in China over concern,Women's Tennis Association announces immediate suspension of all tournaments in China over concern for Chinese tennis player Peng Shuai
25,0,0,0,Scotland,0,coronavirus variant identified in Scotland .,Six cases of Omicron coronavirus variant identified in Scotland
26,Prime Minister Boris Johnson,announces,0,UK,Anyone entering UK,0,"Anyone entering UK must take a PCR test, face mask rules are to be tightened and booster jabs policy overhauled, Prime Minister Boris Johnson announces"
27,All over-40s,should be offered Covid vaccine booster jabs,0,UK,All over-40s,0,"All over-40s should be offered Covid vaccine booster jabs, UK government vaccine advisors say"
28,Prince Charles,lays a wreath,Sunday,London,Prince Charles,part of Remembrance,Prince Charles lays a wreath on behalf of the Queen at the Cenotaph in London as part of Remembrance Sunday commemorations
29,The Queen,will not attend the Remembrance,Sunday,London,because she has sprained her back .,she has sprained her back,The Queen will not attend the Remembrance Sunday service at the Cenotaph in London because she has sprained her back
30,Britney Spears,released from conservatorship that controlled parts,0,0,Britney Spears,0,Britney Spears released from conservatorship that controlled parts of her life after 13 years
31,0,0,0,0,pledges,0,"World on course to heat by 2.4C despite pledges made at COP26 climate summit, analysis suggests"
32,Frontline NHS staff in England,will have to be fully vaccinated against Covid,0,England,workers,"be fully vaccinated against Covid , the BBC has been","Frontline NHS staff in England will have to be fully vaccinated against Covid, the BBC has been told, with workers given until spring to have both jabs"
33,Conservative Owen Paterson 's suspension,put on hold as UK MPs vote,0,UK,0,Conservative Owen Paterson 's suspension put on hold as UK,Conservative Owen Paterson's suspension put on hold as UK MPs vote to review the way their behaviour is policed
34,Indian Prime Minister Narendra Modi,"pledges his country , two decades",0,0,0,Indian Prime Minister Narendra Modi pledges his country will target,"Indian Prime Minister Narendra Modi pledges his country will target net zero carbon emissions by 2070, two decades later than COP26 climate conference target"
35,The Queen,advised by doctors to rest for two further weeks and will not undertake official visits,0,Buckingham Palace,0,"undertake official visits during this time , Buckingham Palace says","The Queen advised by doctors to rest for two further weeks and will not undertake official visits during this time, Buckingham Palace says"
36,UK economy,to return to pre-Covid levels by end,0,UK,Chancellor Rishi Sunak,"to pre-Covid levels by end of 2021 , Chancellor Rishi","UK economy to return to pre-Covid levels by end of 2021, Chancellor Rishi Sunak announces in Budget speech"
37,The Queen,"will not go to next week 's to meet world leaders , after being advised to rest",next week,Buckingham Palace,The Queen,"being advised to rest , Buckingham Palace says","The Queen will not go to next week's COP26 climate change summit in Glasgow to meet world leaders, after being advised to rest, Buckingham Palace says"
38,Scotland manager Walter Smith,dies at age 73,0,Scotland,0,"Former Rangers , Everton and Scotland manager Walter Smith dies","Former Rangers, Everton and Scotland manager Walter Smith dies at age 73"
39,UK National Living Wage set,"to be raised to £ 9.50 , from £ 8.91 , in Wednesday 's",Wednesday,0,0,0,"UK National Living Wage set to be raised to £9.50 an hour, from £8.91 an hour, in Wednesday's budget"
40,US,announces it,8 November,US,0,to fully vaccinated travellers from 8 November .,US announces it will reopen its borders to fully vaccinated travellers from 8 November
41,Dubai ruler Sheikh Mohammed Al-Maktoum,ordered the hacking,0,Dubai,Dubai ruler Sheikh Mohammed Al-Maktoum,of mobile phones during his divorce custody case with Princess,"Dubai ruler Sheikh Mohammed Al-Maktoum ordered the hacking of mobile phones during his divorce custody case with Princess Haya, UK court says"
42,0,0,this month,Japan,0,"her former classmate , a commoner , this month and","After years of controversy, Japan’s Princess Mako will marry her former classmate, a commoner, this month and give up her royal status"
43,"5,000 overseas lorry drivers and 5,500 poultry workers",will be eligible for three-month UK visas until Christmas Eve,Christmas Eve,UK,0,"5,000 overseas lorry drivers and 5,500 poultry workers will be","5,000 overseas lorry drivers and 5,500 poultry workers will be eligible for three-month UK visas until Christmas Eve"
44,a US deal,freed a Huawei executive,0,US,0,a US deal freed a,"Two Canadians detained in China since 2018 are flying home, Trudeau says, after a US deal freed a Huawei executive"
45,North Korea,fires two ballistic missiles,0,North Korea,0,"two ballistic missiles , South Korea says .","North Korea fires two ballistic missiles, South Korea says"
46,Taliban,announce government for Afghanistan,0,Afghanistan,0,an FBI-wanted militant as interior minister .,"Taliban announce government for Afghanistan, led by one of their founders, with an FBI-wanted militant as interior
minister"
