,who,what,when,where,why,how,text
0,0,0,0,0,0,south korea pardons ex - president park geun - hye,south korea pardons ex - president park geun - hye
1,0,0,0,0,minister,"out russian oil imports by end of this year ,","uk to phase out russian oil imports by end of this year , minister says , as part of its response to invasion of ukraine"
2,russian invasion,continues,0,0,0,"to neighbouring countries , the un says , as russian","one million refugees have now fled ukraine to neighbouring countries , the un says , as russian invasion continues"
3,0,0,0,0,uk,on russian oligarchs alisher usmanov and igor shuvalov following russia,uk announces sanctions on russian oligarchs alisher usmanov and igor shuvalov following russia ' s invasion of ukraine
4,russia,kicked out of eurovision song contest by the european broadcasting union following ukraine invasion,0,0,russia,the european broadcasting union following ukraine invasion .,russia kicked out of  eurovision song contest by the european broadcasting union following ukraine invasion
5,woman in her 3 0 s,dies in london after tree,0,0,tree,"tree falls on car , as storm eunice lashes uk","woman in her 3 0 s dies in london after tree falls on car , as storm eunice lashes uk"
6,russia,are being pulled out from ukraine border,0,russia,0,0,russia says some of its troops are being pulled out from ukraine border
7,uk economy,grew by percent last year,0,0,omicron,0,uk economy grew by  percent last year despite omicron causing slowdown
8,0,0,0,0,0,"indian singing icon lata mangeshkar , the “ nightingale of","indian singing icon lata mangeshkar , the “ nightingale of bollywood ” , dies at"
9,a man,is in hospital after tree,0,0,tree,tree falls on them in staffordshire during storm malik,nine - year - old boy dies and a man is in hospital after tree falls on them in staffordshire during storm malik
10,the uk government,confirms,0,0,0,for fully vaccinated travellers arriving in england to be scrapped,"covid tests for fully vaccinated travellers arriving in england to be scrapped from  on  , the uk government confirms"
11,0,0,0,0,0,whose bombastic rock operas catapulted him to the status of,"obituary : meat loaf , the singer whose bombastic rock operas catapulted him to the status of musical icon"
12,0,0,december,0,0,its fastest pace for years .,"uk cost of living rises by  percent in the  months to december , its fastest pace for  years"
13,giant underwater volcano eruption,sends shockwaves across south pacific,0,0,0,after giant underwater volcano eruption sends shockwaves across south pacific,tsunami hits tonga after giant underwater volcano eruption sends shockwaves across south pacific
14,his,adjourned until monday,monday,0,0,0,novak djokovic ’ s appeal over his deportation from australia adjourned until monday
15,0,0,0,0,travellers to england,need pre - departure covid test and will only need,"travellers to england will not need pre - departure covid test and will only need a lateral flow test within two days of arriving , pm boris johnson says"
16,0,0,0,0,0,north korea launches ' unidentified projectile ' into sea .,north korea launches ' unidentified projectile ' into sea
17,"chris whitty , jonathan van - tam and tony blair",are knighted,0,0,joanna lumley,"and tony blair are knighted , joanna lumley is made","chris whitty , jonathan van - tam and tony blair are knighted , joanna lumley is made a dame , and spice girl mel b gets an"
18,uk chancellor rishi sunak,announces fund for hospitality firms hit by covid,0,0,0,hospitality firms hit by covid,uk chancellor rishi sunak announces  fund for hospitality firms hit by covid
19,0,0,0,0,there,uk prime minister boris johnson “ reserves possibility ” of,"uk prime minister boris johnson “ reserves possibility ” of further covid measures in england , but says there are “ still some things we need to be clearer about ”"
20,tennis player emma raducanu,named bbc sports personality,0,0,0,named bbc sports personality of the year .,tennis player emma raducanu named  bbc  sports personality of the year
21,all countries,will be removed from its travel red list,wednesday,0,0,travel red list from on wednesday .,uk government says all  countries will be removed from its travel red list from  on wednesday
22,0,0,0,0,travellers heading to uk,0,"travellers heading to uk will now have to have covid test before their departure in effort to limit spread of virus , government says"
23,volcano,erupts in indonesia,0,0,0,giant ash cloud sends people sprinting for cover after volcano,giant ash cloud sends people sprinting for cover after volcano erupts in indonesia
24,women ' s tennis association,announces immediate suspension,0,0,0,announces immediate suspension of all tournaments in china over concern,women ' s tennis association announces immediate suspension of all tournaments in china over concern for chinese tennis player peng shuai
25,0,0,0,0,0,coronavirus variant identified in scotland .,six cases of omicron coronavirus variant identified in scotland
26,booster jabs policy,overhauled,0,0,anyone entering uk,", prime minister boris johnson announces .","anyone entering uk must take a  pcr  test , face mask rules are to be tightened and booster jabs policy overhauled , prime minister boris johnson announces"
27,all over - 4 0 s,should be offered covid vaccine booster jabs,0,0,0,"offered covid vaccine booster jabs , uk government vaccine advisors","all over - 4 0 s should be offered covid vaccine booster jabs , uk government vaccine advisors say"
28,prince charles,lays a wreath,sunday,0,prince charles,part of remembrance,prince charles lays a wreath on behalf of the queen at the cenotaph in london as part of remembrance sunday commemorations
29,the queen,will not attend the remembrance sunday service,sunday,0,because she has sprained her back .,she has sprained her back,the queen will not attend the remembrance sunday service at the cenotaph in london because she has sprained her back
30,0,0,0,0,0,0,britney spears released from conservatorship that controlled parts of her life after  years
31,0,0,0,0,pledges,0,"world on course to heat by  . 4 c despite pledges made at cop26 climate summit , analysis suggests  cop 26 bbc"
32,the bbc,"has been told , with workers",0,0,workers,"be fully vaccinated against covid , the bbc has been","frontline  nhs  staff in england will have to be fully vaccinated against covid , the  bbc  has been told , with workers given until spring to have both jabs"
33,their,is policed,0,0,0,conservative owen paterson ' s suspension put on hold as,conservative owen paterson ' s suspension put on hold as uk mps vote to review the way their behaviour is policed
34,indian prime minister narendra modi,pledges his country,two decades later,0,0,indian prime minister narendra modi pledges his country will target,"indian prime minister narendra modi pledges his country will target net zero carbon emissions by  , two decades later than cop26 climate conference target  cop 26 bbc"
35,0,0,0,0,0,"undertake official visits during this time , buckingham palace says","the queen advised by doctors to rest for two further weeks and will not undertake official visits during this time , buckingham palace says"
36,0,0,0,0,0,"to pre - covid levels by end of , chancellor","uk economy to return to pre - covid levels by end of  , chancellor rishi sunak announces in budget speech"
37,the queen,will not go to next week,next week,0,s,"being advised to rest , buckingham palace says","the queen will not go to next week ' s cop26 climate change summit in glasgow to meet world leaders , after being advised to rest , buckingham palace says"
38,"former rangers , everton and scotland manager walter smith",dies at age,0,0,0,"former rangers , everton and scotland manager walter smith dies","former rangers , everton and scotland manager walter smith dies at age"
39,0,0,wednesday,0,0,uk national living wage set to be raised to an,"uk national living wage set to be raised to  an hour , from  an hour , in wednesday ' s budget"
40,it,will reopen its borders,0,0,0,to fully vaccinated travellers from .,us announces it will reopen its borders to fully vaccinated travellers from
41,0,0,0,0,0,of mobile phones during his divorce custody case with princess,"dubai ruler sheikh mohammed al - maktoum ordered the hacking of mobile phones during his divorce custody case with princess haya , uk court says"
42,"after years of controversy , japan ’ s",princess mako,this month,0,0,"her former classmate , a commoner , this month and","after years of controversy , japan ’ s princess mako will marry her former classmate , a commoner , this month and give up her royal status"
43,0,0,0,0,0,overseas lorry drivers and poultry workers will be eligible for,overseas lorry drivers and  poultry workers will be eligible for three - month uk visas until christmas eve
44,us,deal freed a huawei executive,0,0,0,a huawei executive .,"two canadians detained in china since  are flying home , trudeau says , after a us deal freed a huawei executive"
45,0,0,0,0,0,"north korea fires two ballistic missiles , south korea says","north korea fires two ballistic missiles , south korea says"
46,taliban,announce government for afghanistan,0,0,0,wanted militant as interior minister .,"taliban announce government for afghanistan , led by one of their founders , with an  fbi  - wanted militant as interior minister"
47,0,0,0,0,uk,russian state - backed news channel rt ' s licence,"russian state - backed news channel rt ' s licence to broadcast in uk revoked "" with immediate effect "" , regulator ofcom says"
48,"legendary australian leg - spinner shane warne , one of the greatest cricketers of all time ,",dies of suspected heart attack,0,0,0,"legendary australian leg - spinner shane warne , one of","legendary australian leg - spinner shane warne , one of the greatest cricketers of all time , dies of suspected heart attack aged"
49,humanitarian crisis,grows in cities under russian bombardment,0,0,vladimir putin,as humanitarian crisis grows in cities under russian bombardment .,"vladimir putin insists ukraine invasion "" going to plan "" as humanitarian crisis grows in cities under russian bombardment"
50,hundreds of civilians,were sheltering,0,0,0,in ukrainian city of mariupol where hundreds of civilians were,"russia bombs theatre in ukrainian city of mariupol where hundreds of civilians were sheltering , deputy mayor says"
51,london ' s metropolitan police,breached the rights,0,0,0,s metropolitan police breached the rights of organisers of planned,"london ' s metropolitan police breached the rights of organisers of planned vigil for sarah everard , judges rule"
52,0,0,0,0,0,"hitting chris rock but refused , academy says .","will smith was asked to leave oscars ceremony after hitting chris rock but refused , academy says"
53,0,0,0,0,0,"very promising "" in peace talks with ukraine so far",""" nothing very promising "" in peace talks with ukraine so far , russian president putin ' s spokesman says follow live updates here"
54,slapping,chris rock at the oscars,0,0,slapping,was unacceptable and inexcusable ” - will smith apologises after,“ my behaviour was unacceptable and inexcusable ” - will smith apologises after slapping chris rock at the oscars
55,"the oscars film academy ""","condemns "" will smith ' s slapping and says it",0,0,it,launched formal review of incident .,"the oscars film academy "" condemns "" will smith ' s slapping of chris rock and says it has launched formal review of incident"
56,russian billionaire roman abramovich,suffered symptoms of suspected poisoning,earlier this month,0,0,russian billionaire roman abramovich suffered symptoms of suspected poisoning at,"russian billionaire roman abramovich suffered symptoms of suspected poisoning at peace talks in kyiv earlier this month , spokesperson says"
57,babies,had been given better maternity care,0,0,they,"given better maternity care by nhs trust , bbc learns","more than  babies in england might have survived if they had been given better maternity care by  nhs  trust ,  bbc  learns"
58,russia,"will "" drastically reduce "" assault",0,russia,it,""" drastically reduce "" assault on ukraine ' s capital","russia says it will "" drastically reduce "" assault on ukraine ' s capital kyiv , where its advance is stalled"
