,who,what,when,where,why,how,text
0,0,0,0,South Korea,0,0,South Korea pardons ex-president Park Geun-hye
1,0,0,0,UK,UK,"out Russian oil imports by end of this year ,","UK to phase out Russian oil imports by end of this year, minister says, as part of its response to invasion of Ukraine"
2,0,0,0,Ukraine,0,"to neighbouring countries , the UN says , as Russian","One million refugees have now fled Ukraine to neighbouring countries, the UN says, as Russian invasion continues"
3,0,0,0,Russia,UK,on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russia,UK announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russia's invasion of Ukraine
4,0,0,0,Russia,Russia,0,Russia kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union following Ukraine invasion
5,0,0,0,London,tree,"tree falls on car , as Storm Eunice lashes UK","Woman in her 30s dies in London after tree falls on car, as Storm Eunice lashes UK"
6,Russia,are being pulled out from Ukraine border,0,Russia,0,0,Russia says some of its troops are being pulled out from Ukraine border
7,0,0,0,UK,Omicron,0,UK economy grew by 7.5 Percent last year despite Omicron causing slowdown
8,0,0,0,0,0,"Indian singing icon Lata Mangeshkar , the “ Nightingale of","Indian singing icon Lata Mangeshkar, the “Nightingale of Bollywood”, dies at 92"
9,0,0,0,Staffordshire,tree,tree falls on them in Staffordshire during Storm Malik,Nine-year-old boy dies and a man is in hospital after tree falls on them in Staffordshire during Storm Malik
10,0,0,0,England,0,for fully vaccinated travellers arriving in England to be scrapped,"Covid tests for fully vaccinated travellers arriving in England to be scrapped from 4am on 11 February, the UK government confirms"
11,0,0,0,0,0,whose bombastic rock operas catapulted him to the status of,"Obituary: Meat Loaf, the singer whose bombastic rock operas catapulted him to the status of musical icon"
12,0,0,0,UK,0,its fastest pace for 30 years .,"UK cost of living rises by 5.4 Percent in the 12 months to December, its fastest pace for 30 years"
13,0,0,0,South Pacific,0,after giant underwater volcano eruption sends shockwaves across South Pacific,Tsunami hits Tonga after giant underwater volcano eruption sends shockwaves across South Pacific
14,Djokovic,adjourned until Monday,0,Australia,0,0,Novak Djokovic’s appeal over his deportation from Australia adjourned until Monday
15,0,0,0,England,Travellers to England,need pre-departure Covid test and will only need a lateral,"Travellers to England will not need pre-departure Covid test and will only need a lateral flow test within two days of arriving, PM Boris Johnson says"
16,0,0,0,North Korea,0,' unidentified projectile ' into sea .,North Korea launches 'unidentified projectile' into sea
17,0,0,0,0,Joanna Lumley,0,"Chris Whitty, Jonathan Van-Tam and Tony Blair are knighted, Joanna Lumley is made a dame, and Spice Girl Mel B gets an"
18,0,0,0,UK,0,hospitality firms hit by Covid,UK Chancellor Rishi Sunak announces £1bn fund for hospitality firms hit by Covid
19,0,0,0,England,there,“ still some things we need to be clearer about,"UK Prime Minister Boris Johnson “reserves possibility” of further Covid measures in England, but says there are “still some things we need to be clearer about”"
20,0,0,0,0,0,0,Tennis player Emma Raducanu named BBC Sports Personality of the Year 2021
21,0,0,0,UK,0,travel red list from 4am on Wednesday .,UK government says all 11 countries will be removed from its travel red list from 4am on Wednesday
22,0,0,0,UK,Travellers heading to UK,have Covid test before their departure in effort to limit,"Travellers heading to UK will now have to have Covid test before their departure in effort to limit spread of virus, government says"
23,0,0,0,Indonesia,0,Giant ash cloud sends people sprinting for cover after volcano,Giant ash cloud sends people sprinting for cover after volcano erupts in Indonesia
24,0,0,0,China,0,announces immediate suspension of all tournaments in China over concern,Women's Tennis Association announces immediate suspension of all tournaments in China over concern for Chinese tennis player Peng Shuai
25,0,0,0,Scotland,0,coronavirus variant identified in Scotland .,Six cases of Omicron coronavirus variant identified in Scotland
26,0,0,0,UK,Anyone entering UK,0,"Anyone entering UK must take a PCR test, face mask rules are to be tightened and booster jabs policy overhauled, Prime Minister Boris Johnson announces"
27,0,0,0,UK,All over-40s,0,"All over-40s should be offered Covid vaccine booster jabs, UK government vaccine advisors say"
28,0,0,0,0,Prince Charles,part of Remembrance,Prince Charles lays a wreath on behalf of the Queen at the Cenotaph in London as part of Remembrance Sunday commemorations
29,The Queen,will not attend the Remembrance,0,0,because she has sprained her back .,she has sprained her back,The Queen will not attend the Remembrance Sunday service at the Cenotaph in London because she has sprained her back
30,Britney Spears,released from conservatorship that controlled parts,0,0,Britney Spears,0,Britney Spears released from conservatorship that controlled parts of her life after 13 years
31,0,0,0,0,pledges,0,"World on course to heat by 2.4C despite pledges made at COP26 climate summit, analysis suggests"
