,who,text
0,0,Malawians mourn ex-First Lady Anne Chidzira Muluzi
1,Costa Rica Congress,Costa Rica Congress passes medical marijuana bill
2,0,Nazi guard's son finds propaganda in loft
3,Credit Suisse,Credit Suisse fined over Mozambique tuna scandal
4,Statue of American Confederate general Robert E Lee,Statue of American Confederate general Robert E Lee removed in Virginia
5,Cristiano Ronaldo statue,Cristiano Ronaldo statue divides opinion in India
6,Russian oligarchs ' super yachts,Russian oligarchs' super yachts seized
7,0,Colombian star apologises for controversial Perra music video
8,Ecuador sprinter Alex Quiñónez,Ecuador sprinter Alex Quiñónez shot dead
9,Spain,Spain to extradite Venezuela's ex-spy chief Hugo Carvajal to US
10,Malala Yousafzai,Malala Yousafzai urges Taliban to allow girls' education
11,A ' zero waste ' agricultural system to increase food security in Africa,Songhaï: A 'zero waste' agricultural system to increase food security in Africa
12,0,Hungary: Mayor Marki-Zay wins run-off to challenge Orban
13,Haiti kidnap,Haiti kidnap: 400 Mawozo accused of US missionary kidnap
14,Colombia,Pablo Escobar: Colombia sterilises drug lord's hippos
15,0,Kenyan child serial killer Masten Wanjala killed by mob
16,Nigeria 's Tiwa Savage,Nigeria's Tiwa Savage reveals sex tape blackmail
17,0,"Strong winds cause sandstorm in São Paulo, Brazil"
18,Israel,Israel accuses Iran over Cyprus alleged hitman plot
19,0,New volcanic eruptions on La Palma
20,Rwanda genocide ' kingpin ' Théoneste Bagosora,Rwanda genocide 'kingpin' Théoneste Bagosora dies in prison
21,Catalan,Catalan separatist Carles Puigdemont arrested in Italy
22,La Palma volcano lava,La Palma volcano lava engulfs homes and swimming pools
23,0,"Lava destroys homes in La Palma, Canary Islands"
24,0,Politicians condemn protest at Leo Varadkar's home
25,US TikTok star Morgan Bullock,US TikTok star Morgan Bullock makes professional debut in Riverdance
26,Israel,Israel recaptures final Palestinian escapees
27,Dutch Foreign Minister Sigrid Kaag,Dutch Foreign Minister Sigrid Kaag quits over Afghanistan chaos
28,Former French health minister Agnès Buzyn,Former French health minister Agnès Buzyn under investigation
29,Hong Kong Tiananmen vigil organisers,Hong Kong Tiananmen vigil organisers charged under national security law
30,Nicaragua orders arrest,Nicaragua orders arrest of award-winning author Sergio Ramírez
31,Hong Kong 's Tiananmen vigil organisers,Hong Kong's Tiananmen vigil organisers arrested
32,Belarus jail terms for opposition figures,Belarus jail terms for opposition figures Kolesnikova and Znak
33,Yoshihide Suga,Yoshihide Suga to step down as Japan's prime minister
34,Pedro Almodovar 's ' irresistible ' Parallel Mothers,Pedro Almodovar's 'irresistible' Parallel Mothers opens Venice Film Festival
35,Indian TV actor Siddharth Shukla,Indian TV actor Siddharth Shukla dies at 40
36,0,Inger Stoejberg: Danish ex-immigration minister faces impeachment trial
37,Kashmir 's separatist patriarch,Syed Ali Geelani: Kashmir's separatist patriarch dies aged 92
38,Taliban parade,Afghanistan: Taliban parade captured equipment in Kandahar
39,South America 's drought - hit Paraná,South America's drought-hit Paraná river at 77-year low
40,Ethiopia,Ethiopia claims military gains to halt Tigrayan rebels
41,Oscar Pistorius,Oscar Pistorius set to meet victim Reeva Steenkamp's parents
42,India arrests,India arrests Kashmiri human rights activist Khurram Parvez under anti-terrorism law
43,Narendra Modi,India PM Narendra Modi repeals controversial farm laws
44,0,Malaysian transgender woman Nur Sajat: 'I had to run away'
45,JP Morgan,JP Morgan sues Tesla for $162m after Elon Musk 2018 tweets
46,Aung San Suu Kyi,Aung San Suu Kyi charged with election fraud by Myanmar junta
47,0,Explosions hit Ugandan capital Kampala
48,Indonesia jails man,Indonesia jails man for masterminding Bali bombings
49,US Capitol riot committee issues,US Capitol riot committee issues subpoena to Rudy Giuliani
50,India ’s,Remembering India’s super mum tigress Collarwali
51,0,Tsunami hits coasts after Tonga eruption
52,0,British woman reported missing after Tonga tsunami
53,Ousted Mali president Ibrahim Boubacar Keïta,Ousted Mali president Ibrahim Boubacar Keïta dies aged 76
54,Somali spokesman Mohamed Ibrahim Moalimuu,Somali spokesman Mohamed Ibrahim Moalimuu injured in explosion in Mogadishu
55,Novak Djokovic 's visa drama,Novak Djokovic's visa drama in 90 seconds
56,Jovenel Moïse murder,Jovenel Moïse murder: Ex-senator arrested in Jamaica
57,Novak Djokovic,Novak Djokovic detained ahead of Australian visa appeal
58,0,REvil ransomware gang arrested in Russia
59,brewing in Narendra Modi 's Bharatiya Janata Party,Is a rebellion brewing in Narendra Modi's Bharatiya Janata Party?
60,Opera singer Maria Ewing,Opera singer Maria Ewing dies at 71
61,Oscar - winning lyricist Marilyn Bergman,Oscar-winning lyricist Marilyn Bergman dies at 93
62,Russian troop presence in Kazakhstan,US questions Russian troop presence in Kazakhstan
63,Nicaragua 's President Daniel Ortega,Profile: Nicaragua's President Daniel Ortega
64,Hong Kong activist Chow Hang Tung,Hong Kong activist Chow Hang Tung gets 15 month term for Tiananmen vigil
65,Former Afghan president Ashraf Ghani,Former Afghan president Ashraf Ghani describes his escape from the Taliban
66,Prize - winning Ugandan novelist Kakwenza Rukirabashaija,"Prize-winning Ugandan novelist Kakwenza Rukirabashaija detained, his lawyer confirms"
67,0,TikTok moderator sues over 'psychological trauma'
68,Berlin Zoo,Berlin Zoo animals feast on unsold Christmas trees
69,Andrzej Duda,Andrzej Duda: Polish president vetoes controversial media law
70,"Kêfa Sagbadjou Glèlè , monarch of once - powerful West African kingdom ,","Kêfa Sagbadjou Glèlè, monarch of once-powerful West African kingdom, dies"
71,At least 70 feared missing in jade mine landslide,Myanmar: At least 70 feared missing in jade mine landslide
72,The Maasai TikTokers,The Maasai TikTokers wowing Bollywood fans
73,0,Ethiopian civil war divides diaspora in the US
74,US Congress,US Congress passes import ban on Chinese Uyghur region
75,Danish ex-minister Inger Stoejberg,Danish ex-minister Inger Stoejberg jailed after impeachment trial
76,Hong Kong media mogul Jimmy Lai,Hong Kong media mogul Jimmy Lai gets 13 months in jail for Tiananmen vigil
77,Man,Edward Fullerton: Man arrested over murder of Sinn Féin councillor
78,0,Former RTÉ producer jailed for child sex abuse
79,Sigur Rós star 's volcano,Sigur Rós star's volcano exhibit showcases in New York
80,Merkel,Merkel picks German punk singer Hagen for last serenade
81,videos humanise Colombia 's cocaine workers,TikTok videos humanise Colombia's cocaine workers
82,Libya 's foreign minister Najla El - Mangoush,Libya's foreign minister Najla El-Mangoush suspended and grounded
83,Gardaí charge man in MP threat investigation,Cork: Gardaí charge man in MP threat investigation
84,India,India celebrates Diwali under shadow of Covid-19
85,Taliban,Taliban bans foreign currencies in Afghanistan
86,Canada,Canada challenges compensation order for indigenous children
87,0,Living with lava in La Palma 🌋
88,midfielder Christian Eriksen,Inter Milan midfielder Christian Eriksen unable to play for club after his cardiac arrest
89,Saudi Arabia,Saudi Arabia expels Lebanon ambassador amid Yemen row
90,Japan 's Princess Mako,Japan's Princess Mako finally marries commoner boyfriend Kei Komuro
91,China 's ' Piano Prince ' detained for hiring prostitute,Li Yundi: China's 'Piano Prince' detained for hiring prostitute
92,0,Scientists collect La Palma volcano samples
93,Avicii fans,Avicii fans touched by ‘emotional’ museum in Stockholm
94,Kennel hit by meteorite,Kennel hit by meteorite goes on sale
95,0,Petrópolis: Nearly 200 still missing in flood-hit Brazil city
96,Winter Olympics,Winter Olympics: Who is Kamila Valieva's coach Eteri Tutberidze?
97,clear demonstrators in Canada 's capital,Police clear demonstrators in Canada's capital
98,0,Petrópolis: Hopes fade for survivors in flood-hit Brazil city
99,0,Deadly landslides wreak havoc in Brazil's Petrópolis
100,King of Bollywood disco Bappi Lahiri,King of Bollywood disco Bappi Lahiri dies at 69
101,Nigeria 's prisons problem,Nigeria's prisons problem: Former inmates reveal horrific experiences
102,Met Police Federation,Met Police Federation has 'no faith' in London mayor Sadiq Khan
103,0,Mauritian flag raised on British-controlled Chagos Islands
104,Malala,India: Malala weighs into Karnataka hijab row
105,Shankar Mahadevan,Lata Mangeshkar: Shankar Mahadevan remembers India's 'musical Koh-i-Noor'
106,Novavax Covid jab,Novavax Covid jab approved by UK drugs regulator
107,0,Former Miss USA Cheslie Kryst dead at 30
108,0,Seven killed in Kenyan bus ambush
109,0,Chileans protest against Venezuelan migrants
110,"Floods in São Paulo , Brazil ,","Floods in São Paulo, Brazil, kill 19 and destroy homes"
111,Kazakhstan 's,Inside Kazakhstan's giant crypto-mine
112,EU,Lithuania-China row: EU escalates trade dispute with Beijing
113,Dutch tourist fined over Nazi salute at former death camp,Auschwitz: Dutch tourist fined over Nazi salute at former death camp
114,"Liv 's Night Club in Yaoundé , Cameroon","Liv's Night Club in Yaoundé, Cameroon hit by deadly blaze"
115,0,Grindr scammer jailed for blackmailing men
116,Peru oil spill,Peru oil spill after Tonga eruption an ecological disaster
117,Haridwar,Haridwar hate speech: Who is the arrested Hindu priest Yati Narsinghanand Saraswati?
118,Snow,Snow falls in Algeria's Sahara Desert
119,Kyiv TV tower,Kyiv TV tower struck by Russian missile
120,Auschwitz tattoo stamp auction in Jerusalem,Auschwitz tattoo stamp auction in Jerusalem sparks fury
121,0,US issues first gender-neutral 'X' passport
122,Jeff Bezos,Jeff Bezos unveils plans for 'space business park'
123,German anger as Russia,German anger as Russia shuts international broadcaster Deutsche Welle
124,Microsoft Chief Digital Officer,Microsoft Chief Digital Officer tops Powerlist
125,Lady Marmalade singer Sarah Dash,Lady Marmalade singer Sarah Dash dies at 76
126,Millionaire murderer Robert Durst,Millionaire murderer Robert Durst dies in prison
127,SA,SA urges halt to Nelson Mandela's Robben Island prison cell key auction
128,0,Groundbreaking Italian film director Lina Wertmüller dies aged 93
129,The Russians,The Russians leaving their country for Finland
130,0,"Unite against climate change, Ukraine scientist says"
131,World 's second biggest retailer H and M,World's second biggest retailer H and M temporarily suspends all sales in Russia
132,Europe 's largest nuclear plant,Europe's largest nuclear plant shelled in Ukraine
133,0,Israeli PM meets Putin in Moscow
134,0,Ukraine: Thousands march in Kherson against occupiers
135,Jersey woman,Jersey woman reunited with wedding ring after 60 years
136,Telecom company Ericsson,Telecom company Ericsson breached US deal over Iraq corruption probe
137,Australian soap Neighbours,"Australian soap Neighbours will end this summer after 37 years, producers confirm"
138,the mega-rich Russians,Who are the mega-rich Russians facing sanctions?
139,Russia and Belarus athletes,Russia and Belarus athletes not allowed to compete at Winter Paralympics 2022
140,Stonehenge,"Stonehenge was a solar calendar, according to research"
141,0,Ukraine: Russian troops take control of key city of Kherson - mayor
142,Guernsey marina programme drilling,Guernsey marina programme drilling work to start
143,Biden 's State,Standing ovation for Ukrainian ambassador at Biden's State of the Union address
144,Developers,"Developers plan apartment hotel, flats and houses in St Helier"
145,Banksy,Banksy works sell for millions at auction
146,0,Russian forces claim control of Ukrainian port city Kherson and begin to surround others
147,EA,EA removes Russian team from Fifa 22
148,Kharkiv university,Kharkiv university ablaze after Russian missile hit
149,Sky News journalist Stuart Ramsay and team,Sky News journalist Stuart Ramsay and team shot at in Ukraine ambush
150,0,Thousands march in Ukraine's city of Kherson against Russian occupiers
151,0,"US does not seek regime change in Russia, says Secretary of State"
152,Fitbit,Fitbit recalls Ionic watch following skin burns
153,0,Advice on accessing BBC News
154,Oil - producing nations,Oil-producing nations stick to their plan despite Ukraine
155,0,Crowd surround car believed to be Russian in north-eastern Ukraine
156,My,"'My city is being shelled, but my mum in Russia won’t believe me'"
157,the West,What no-fly zone means and why the West won't act
158,Netflix,Netflix pauses future projects in Russia
159,0,Everything you need to know about International Women's Day 2022
160,march in Belgrade,Thousands of pro-Russia Serbs march in Belgrade
161,a Nato spy plane monitoring Russian activity,On board a Nato spy plane monitoring Russian activity
162,0,Standing ovation for Ukrainian ambassador at Biden speech
163,Africa 's week in pictures : 25 February - 3,Africa's week in pictures: 25 February - 3 March 2022
164,0,Hectic crabs captured on underwater camera in Australia
165,Ros Atkins,Ros Atkins on...Russian gas and oil
166,0,Blue lobster found by fisherman in one-in-two-million catch
167,Biden 's messages,Biden's messages for four very different audiences
168,0,Reporter takes cover as blast lights up Kyiv's sky
169,Russia,Ukrainian families run for cover as Russia escalates bombing campaign against cities
170,Alisher Usmanov,UK sanctions oligarchs Alisher Usmanov and Igor Shuvalov
171,Western Australia state,Western Australia state reopens two years into the pandemic
172,US,US central bank boss says he plans to raise rates
173,Russia and Belarus Winter Paralympics athletes,Russia and Belarus Winter Paralympics athletes classed as neutral after Ukraine invasion
174,Russians still bombing Mariupol despite ceasefire,"Russians still bombing Mariupol despite ceasefire, says deputy mayor"
175,Chile 's opposition,Chile's opposition launches bid to impeach President Sebastián Piñera after Pandora Papers
176,0,La Palma volcano: Toxic gas fears as lava reaches ocean
177,Thousands evacuated as Cumbre Vieja volcano,Thousands evacuated as Cumbre Vieja volcano erupts on La Palma in the Canary Islands
178,UN,"Venezuela judiciary aiding repression, UN finds"
179,0,Leaders spar over China in Canada election debate
180,Mexico,Mexico decriminalises abortion
181,Australia police arrest quarantine,Australia police arrest quarantine escapees
182,Honduras votes in first female president,Xiomara Castro: Honduras votes in first female president
183,La Niña weather event,Australia declares La Niña weather event has begun
184,0,Colombo Port City: A new Dubai or a Chinese enclave?
185,Novak Djokovic,Novak Djokovic loses Australian visa appeal
186,Silicon Valley,Has Theranos changed Silicon Valley?
187,0,Novak Djokovic: Travel declaration mistake was 'human error'
188,Australia,Australia loses bid to delay Novak Djokovic's visa appeal
189,Mexican musical icon Vicente Fernández,Mexican musical icon Vicente Fernández dies at 81
190,Colombian rebel commander ' El Paisa ' killed in Venezuela,FARC: Colombian rebel commander 'El Paisa' killed in Venezuela
191,CNN,CNN fires presenter Chris Cuomo
192,Venezuela 's hospital,Venezuela's hospital 'hell'
193,Narendra Modi,Indian PM Narendra Modi invites Pope Francis for visit
194,Ukraine,Ukraine: Explosions rock Kyiv and Ukraine second city Kharkiv
195,0,Maëlys de Araujo: Ex-soldier faces verdict over French girl's murder
196,0,French tourist Benjamin Brière jailed in Iran on spying charges
197,Far - right journalist cast as Macron election rival,Eric Zemmour: Far-right journalist cast as Macron election rival
198,0,Nationalist cleric Moqtada al-Sadr claims victory in Iraq's election
199,US Haiti envoy,US Haiti envoy quits over migrant deportations
200,0,Protesters defy Taliban intimidation in Afghanistan
201,coup against President Alpha Condé,Guinea opposition leader backs coup against President Alpha Condé
202,Rihanna,Rihanna made national hero as Barbados becomes republic
203,Somali journalist Abdiaziz Mohamud Guled,Somali journalist Abdiaziz Mohamud Guled killed in suicide attack
204,France,France investigates rape of soldier at Élysée palace
205,Ex-French president Francois Hollande,Ex-French president Francois Hollande testifies over 2015 Paris attacks
206,US Supreme Court,US Supreme Court scrutinises Biden vaccine mandates
207,Barbra Streisand,Peter Bogdanovich: Barbra Streisand leads tributes to late film director
208,Citroën Egypt advert,Citroën Egypt advert accused of normalising sexual harassment
209,0,Jean-Marc Vallée: Canadian filmmaker dies aged 58
210,0,Saudi entertainment boom raises harassment fears
211,Ex-Barcelona academy chief,Albert Benaiges: Ex-Barcelona academy chief faces sex abuse claims
212,Valérie Pécresse,"Valérie Pécresse: Part-Thatcher, part-Merkel and wants to run France"
213,0,US to reopen borders to vaccinated travellers after 20 months
214,the world,How the world is reacting to the climate summit.
215,0,Who is Greta Thunberg and what are her aims?
216,0,"Infrastructure bill is monumental step forward, Joe Biden says"
217,Alaska ’s shrinking island,What Alaska’s shrinking island means for all of us
218,0,"Boy, 7, takes school reusable bottle campaign to COP26"
219,0,Covid booster jabs to open earlier for pre-booking in England
220,the world,How the world is reacting to the climate summit
221,0,US lawmakers approve $1tn in infrastructure spending
222,Delhi air,Delhi air turns toxic after Diwali fireworks
223,pop star Zara Larsson,How pop star Zara Larsson made a seven-figure sum on Roblox
224,The Rotterdam museum set,The Rotterdam museum set to display its entire art collection
225,Senator,"Hello, Senator? This is the Duchess of Sussex calling"
226,Instagram post previews,Instagram post previews to return on Twitter
227,George Clooney,George Clooney asks media not to publish photos of his children
228,Greta Thunberg,Greta Thunberg tells mass rally that 'world is burning'
229,we,Where are we at with Covid?
230,0,What Second Life can teach us about Mark Zuckerberg's metaverse
231,0,"Leaders need to listen to the planet, say activists at the COP26 climate conference"
232,baseball 's big fix,The sports data pioneer who spotted baseball's big fix of 1919
233,0,What can you expect from today at the COP26 climate conference?
234,A journey from slum to Sydney,"A journey from slum to Sydney, upended by the pandemic"
235,you,Halloween's over - so what should you do with your costume?
236,the skyscraper,Does the skyscraper still have a future?
237,Portugal 's president,Portugal's president calls snap election
238,0,My Day at COP26: 'It's my job to keep the summit fed - sustainably'
239,countries around the world,What is net zero and how are countries around the world doing?
240,0,"Mysterious LA jetpack man was probably a balloon, say investigators"
241,Turkey,Turkey investigates posts about president's health
242,Map of Isle of Man 's defibrillators,Map of Isle of Man's defibrillators put online
243,0,What to look out for today at the COP26 climate conference
244,she,Amanda Knox on how she thinks her case would be viewed today
245,0,Carbon emissions show rapid rebound after Covid dip
246,190 nations and organisations,190 nations and organisations pledge to quit coal
247,Iran nuclear deal,Iran nuclear deal: Talks to resume within weeks
248,Nine - year - old Makenna,Nine-year-old Makenna had to go to hospital after everyone in her family contracted Covid
249,US central bank,US central bank is reducing its bond-buying programme
250,Libya,Libya could work with US on extraditing man wanted over 1988 Lockerbie bombing
251,UK 's ' longest - lasting ' snow patch,UK's 'longest-lasting' snow patch melts away
252,Boris Johnson and Sir David Attenborough,Did Boris Johnson and Sir David Attenborough break face mask rules at COP26 climate summit?
253,Microsoft Teams,Microsoft Teams adds 3D avatars as it lays out metaverse ambitions
254,0,Hijab campaign tweets pulled by Council of Europe after French backlash
255,Liverpool captain Jordan Henderson,Liverpool captain Jordan Henderson visits NHS staff at hospital
256,The Cryptoqueen 's £ 13.5 m London,The Cryptoqueen's £13.5m London penthouse
257,0,The woman defying the Taliban on girls' education
258,0,"What happened at the COP26 climate conference yesterday?

Here's what you need to know"
