,who,text
0,Putin,✍️  Putin has misjudged the resistance of both the Ukrainians and world opinion  | Writes Jonathan Shaw
1,mansions,"🔴The Government should seize the mansions of Russian oligarchs and use them to house Ukrainian refugees in the UK, Dominic Raab has said"
2,Sky News reporter Stuart Ramsay,Sky News reporter Stuart Ramsay was shot and wounded alongside members of his team in Kyiv
3,Roman Abramovich,⚡️Exclusive: Roman Abramovich puts Chelsea up for sale
4,The Ukrainian ambassador,🔴The Ukrainian ambassador received a standing ovation in Commons
5,Staff at Ukraines Zaporizhzhia nuclear power plant,"🔴 Staff at Ukraines Zaporizhzhia nuclear power plant continue to operate the facility, but management is now under the orders of the commander of the Russian forces that seized it last week, the UN nuclear watchdog said today."
6,they,🇺🇦Last year they took to the streets of Kyiv calling for gender equality – this International Women’s Day they are repelling an invasion
7,"Princess Diana , the Duchess of Cambridge and the Queen","Princess Diana, the Duchess of Cambridge and the Queen have all been fans of the houndstooth check"
8,A Ukrainian child,📽️A Ukrainian child sheltering in a bunker has received attention from Broadway star Idina Menzel after a video of her singing Let It Go went viral
9,0,Read @colinfreeman99s  dispatch from Irpin here 👇
10,The daughter of Sergei Lavrov ’s mistress,"🔴The daughter of Sergei Lavrov’s mistress should be among the family members of Vladimir Putin’s cronies targeted with sanctions, MPs and campaigners have said"
11,This lesson,This lesson does not appear to have been learnt by the Russians
12,0,"🇺🇦Armoured units have also been seen pouring into towns near the Hostomel military airport north-west of Kyiv...

...apparently reinforcing Russian positions in the nearby satellite towns of Bucha and Irpin"
13,The British public,🔴The British public will be asked to offer homes to tens of thousands of Ukrainians fleeing the Russian invasion under plans to be announced this weekend
14,0,"🇺🇦 Around 29,000 people were evacuated from various cities in Ukraine through humanitarian corridors on Tuesday"
15,family,🔵 A Christian couple have offered up an entire home to a family of Ukrainian refugees but cannot yet find a match - as they branded the Government’s scheme a  minefield
16,0,"🇺🇦 Russians are rounding up civilians, robbing homes and post offices, locals have told the Telegraph,  writes @VerityBowman on the Ukrainian city of Kherson"
17,Eleanor Halls review of 29 - year - old Ghanaian pop singer Bree Runway,Read Eleanor Halls review of 29-year-old Ghanaian pop singer Bree Runway at Electric Brixton 👇
18,0,"ICYMI: Listen back to our daily Ukraine Twitter Space 

🎙️@djknowles22 was joined by @Val_Voshchevska, @theo_merz, @SheridanDani and @DomNicholls 

Listen here 👇"
19,women,"✍️ Men wanted to be him [Zelensky], women wanted to be with him, with the caveat that they would prefer not to be under constant bombardment  writes @edcumming"
20,0,Here is the Ukraine-Russia lunchtime briefing👇
21,reliance on Moscow for oil and gas,"🔴 Writing for The Telegraph, Prime Minister says reliance on Moscow for oil and gas has allowed Russian president to use them for blackmail’"
22,reliance on Moscow for oil and gas,🗣️Boris Johnson says reliance on Moscow for oil and gas has allowed Putin to use them for blackmail’
23,Ukraine since the Russian invasion,"🚨Some 1.4 million children have now fled Ukraine since the Russian invasion began on February 24...

...meaning one child a minute has become a refugee, the UN said today"
24,0,"📈 Statistics show a record 4.3 million referrals for those of all ages, up 15 percent  since before the pandemic"
25,"Cath Weller , 50 ,","Cath Weller, 50, is one woman who decided to make a change.

She became a midlife style guru following a recent style and weight-loss transformation"
26,The 21 children and their families,"🔴 The 21 children and their families arrived in Britain on Sunday, escorted by a nine-strong NHS team"
27,0,"😷 Consumer Prices Index shows pandemic has changed leisure spending, snacking habits and even the nations preferred bed size"
28,The 88 - year - old star,"🎞️ The 88-year-old star reflects on Batman’s camp halcyon days, her Lurex catsuit, and eating ice cream with Salvador Dali"
29,decision,"👑The decision not to travel to the Abbey in person was made with the Queen’s  comfort  in mind, it is understood"
30,Boris Johnson,"🔴 Boris Johnson will reportedly travel to Riyadh, later in the week for oil talks as he looks to lead efforts to end British and European reliance on Russian supplies"
31,0,🔴No 10 looking at mansions and Chelsea FC hotel as options to house refugees
32,Zelensky,🔴Zelensky will virtually address the US Congress at 9am [1300 GMT] on Wednesday
33,the supply of wood pellets,🔴Homes and businesses heated by biomass boilers face soaring costs as the supply of wood pellets is disrupted by Russia’s invasion of Ukraine
34,0,Here is the Ukraine-Russia morning briefing 👇
35,"The prime ministers of Poland , Slovenia and the Czech Republic","🔴The prime ministers of Poland, Slovenia and the Czech Republic will travel to Kyiv by train today to meet Volodymyr Zelensky"
36,Azov,"⚡️ Azov was founded by Andriy Biletsky, an ultra-nationalist political figure who had had run-ins with the law and had been involved in various groups that toyed with Nazi symbols"
37,0,🗣️ An NHS director has said hospital staff should not be required to speak only in English to colleagues while at work
38,Mr Wallace,"Mr Wallace has ordered an inquiry into the video call, which he said had been  properly set up  and requested through a government department, via an email in the name of an aide at the Ukrainian embassy"
