,who,what,where,when,why,how,text
0,Netflix,employees,0,0,0,0,Netflix employees protest transphobic Dave Chappelle comedy show
1,Justin Trudeau,holds major cabinet shuffle,0,0,Justin Trudeau,Canadian PM Justin Trudeau holds major cabinet shuffle .,Canadian PM Justin Trudeau holds major cabinet shuffle
2,Macron,boost in presidential race,0,0,0,French elections : Putins war gives Macron boost in presidential,French elections: Putins war gives Macron boost in presidential race
3,The free world,fights back against Putin,0,0,0,The free world fights back against Putin .,Ukraine crisis: The free world fights back against Putin
4,0,0,0,0,0,become latest Taliban restriction after face veil rule .,Afghanistan: Women’s faces become latest Taliban restriction after face veil rule
5,Questions over UK Conservative party donations made by ex-Russian ministers,wife,0,0,Questions over UK Conservative party donations,by ex-Russian ministers wife - revealed in Pandora Papers .,Questions over UK Conservative party donations made by ex-Russian ministers wife - revealed in Pandora Papers
6,Gay Santa,ad,0,0,0,in modern Norway .,Gay Santa ad a surprise hit in modern Norway
7,Girls excluded as Afghanistan secondary schools,reopen,0,0,0,Afghanistan secondary schools reopen .,Girls excluded as Afghanistan secondary schools reopen
8,We,have no more time,0,0,We,Indigenous climate activist tells delegates We have no more time,Indigenous climate activist tells delegates We have no more time
9,Anti-war protests across Russia,see thousands,0,0,0,"Anti-war protests across Russia see thousands detained , say rights","Anti-war protests across Russia see thousands detained, say rights groups and Russian authorities"
10,pirates,!,0,0,0,0,Were pirates!: Cruise ship changes course to dodge seizure
11,US House,passes Crown Act,0,0,0,0,US House passes Crown Act which would end hair discrimination
12,US,is trying to chill his free speech,0,0,0,his free speech .,Elon Musk says US is trying to chill his free speech
13,Norway,drilling the oil,0,0,Norway,it rich ?,Can you stop Norway drilling the oil that made it rich?
14,Microsoft Teams,adds 3D avatars,0,0,0,adds 3D avatars as it lays out metaverse ambitions .,Microsoft Teams adds 3D avatars as it lays out metaverse ambitions
15,Man,gambles away huge accidental Covid payment,0,0,0,gambles away huge accidental Covid payment in Japan .,Man gambles away huge accidental Covid payment in Japan
16,Oscar Pistorius parole process,to start in South Africa,0,0,0,0,Oscar Pistorius parole process to start in South Africa
17,0,0,0,0,first Asian superhero,first Asian superhero is empowering change .,Why Marvels first Asian superhero is empowering change
18,US Quidditch leagues,set to pick new name from JK Rowling,0,0,0,"pick new name to distance themselves from JK Rowling ,","US Quidditch leagues set to pick new name to distance themselves from JK Rowling, following trans row"
19,Drought,robs Amazon communities,Amazon,0,Drought,0,Drought robs Amazon communities of life-giving river
20,0,0,0,0,0,Australian online design platform valued at $ 40bn .,Canva: Australian online design platform valued at $40bn
21,Donald Trumps children,refuse to testify in fraud inquiry,0,0,0,0,Donald Trumps children refuse to testify in fraud inquiry
