,who,what,where,when,why,how,text
0,Golden State Warriors v Boston Celtics – live,!,0,0,0,– live !,NBA finals Game 6: Golden State Warriors v Boston Celtics – live!
1,"Crystal Palace v Newcastle , Leeds v Wolves and more",:,0,0,0,– live !,"Crystal Palace v Newcastle, Leeds v Wolves and more: football clockwatch – live!"
2,Regulator,launches disciplinary action,0,0,Regulator,launches disciplinary action against Crown Resorts after royal commission findings,Regulator launches disciplinary action against Crown Resorts after royal commission findings
3,Raab,admits lying to parliament,0,0,Raab,0,Raab admits lying to parliament a resigning matter amid claims PM misled MPs
4,0,0,0,0,0,being racially insensitive .,Fox News edits video of Biden to make it seem he was being racially insensitive
5,Karim Benzema and Asensio fire,Real Madrid,Atlético,0,0,0,Karim Benzema and Asensio fire Real Madrid to derby glory over Atlético
6,0,0,0,0,0,Britons set to spend £ 400m on jubilee,Corgi gift sales soar as Britons set to spend £400m on jubilee
7,the cryptocurrency trading boom,creating a new generation,0,0,0,a new generation of addicts ?,Is the cryptocurrency trading boom creating a new generation of addicts?
8,0,0,0,0,0,Covid twice within three weeks in Spain .,"Woman, 31, catches Covid twice within three weeks in Spain"
9,marshmallows that deliver on their promise,.,0,0,0,0,Notes on chocolate: marshmallows that deliver on their promise
10,Macron,rebuked for saying Russia,0,0,0,war latest : explosions shake Kyiv ; Macron rebuked for,Russia-Ukraine war latest: explosions shake Kyiv; Macron rebuked for saying Russia can’t be humiliated’ – live
11,Michael Craig - Martin ’s paintings of Covid era items – in pictures,.,0,0,0,0,Object lesson: Michael Craig-Martin’s paintings of Covid era items – in pictures
12,Johnson,likes to dress up as a mini-dictator,0,0,0,he really up to that job ?,Johnson likes to dress up as a mini-dictator. But is he really up to that job? | Zoe Williams
13,Blinken,pushes back against Republican criticism at Afghanistan hearing,0,0,Blinken,pushes back against Republican criticism at Afghanistan hearing .,Blinken pushes back against Republican criticism at Afghanistan hearing
14,0,0,0,0,0,", Australian unions say .","Employers rushing’ to terminate enterprise agreements, Australian unions say"
15,UK church leaders,criticise Ghanaian bishops,0,0,0,criticise Ghanaian bishops over support of anti-LGBTQ + law .,UK church leaders criticise Ghanaian bishops over support of anti-LGBTQ+ law
16,Richard Rogers,:,Millennium Dome,0,0,dies aged 88 .,Richard Rogers: Pompidou and Millennium Dome architect dies aged 88
17,My sleepy brain,loves the sound,0,0,My sleepy brain,My sleepy brain loves the sound of permanent daylight savings,My sleepy brain loves the sound of permanent daylight savings. But do scientists agree?
18,Zelenskiy,calls for meaningful steps ’ at Nato,EU,0,Zelenskiy,war latest : Zelenskiy calls for meaningful steps ’ at,"Russia-Ukraine war latest: Zelenskiy calls for meaningful steps’ at Nato, EU and G7 summits; Russia not interested in ceasefire, says EU – live"
19,Northern Irish rider Davy Morgan,dies in crash during Isle,0,0,0,Northern Irish rider Davy Morgan dies in crash during Isle,Northern Irish rider Davy Morgan dies in crash during Isle of Man TT races
20,Rayner,begged Mail on Sunday,0,Sunday,I,0,Angela Rayner:  I begged Mail on Sunday not to publish Basic Instinct story’
21,Vladimir Putin ’s,phoney war,0,0,0,Ukraine defiant in face of Vladimir Putin ’s phoney war,We’ll fight to the end.’ Ukraine defiant in face of Vladimir Putin’s phoney war
22,Spain,mourns worst fishing tragedy,0,0,Spain,mourns worst fishing tragedy in 38 years after sinking of,Spain mourns worst fishing tragedy in 38 years after sinking of Villa de Pitanxo
23,Prince Andrew scandal,results in track,0,0,0,0,Prince Andrew scandal results in track renaming the Duke of York Stakes
24,Patrick Stewart on the teacher who spotted his talent – and saved him,.,0,0,0,0,A moment that changed me: Patrick Stewart on the teacher who spotted his talent – and saved him
25,trees in Finland,throw up their own parasols,0,0,0,keep cool .,How trees in Finland throw up their own parasols to keep cool
26,I,needed people : Dragons,0,0,I,I never needed people to like me ’ : Dragons,"I never needed people to like me’: Dragons’ Den star Deborah Meaden on snobbery, fame and her 40-year marriage"
27,Sydney high school students,watch car,0,0,car,Sydney high school students watch car float away in floods,Sydney high school students watch car float away in floods – video
28,Indigenous protesters,rally,0,0,0,Indigenous protesters rally against fossil fuels | First Thing .,Indigenous protesters rally against fossil fuels | First Thing
29,0,0,0,0,we,0,Russia-Ukraine war: what we know on day 27 of the invasion
30,it,like to be a woman,0,0,0,0,Tell us: what is it like to be a woman at the football?
31,Ministers considering cutting Covid isolation to five days,",",0,0,0,0,"Ministers considering cutting Covid isolation to five days, says Boris Johnson"
32,0,0,0,0,AGL,0,"AGL appears set to dump demerger plan, yielding to Mike Cannon-Brookes"
