,who,what,where,when,why,how,text
0,I,"cooked and baked for my parents , and that ’s how I",0,0,I,were always supportive .,"👨‍🍳 I cooked and baked for my parents, and that’s how I got into cooking. They were always supportive. I helped Dad grow vegetables and pick fruit that would turn into lovely food."
1,The Queen,has vowed to carry on working while suffering with Covid and intends to be at her desk as the end,0,0,0,of legal restrictions is announced .,"The Queen has vowed to carry on working while suffering with Covid and intends to be at her desk as the end of legal restrictions is announced.

🔓 This article is currently free to read. 👇"
2,the Zoe tracker app,",",0,0,0,most common symptom is a moderate to severe pulsing headache,"🤕According to the Zoe tracker app, the most common symptom is a moderate to severe  pulsing  headache lasting 3-5 days.

Even at this early stage, omicron appears to be with milder headaches"
3,Gratitude for Mrs Thao ’s money,could be expressed in ways,0,0,Gratitude for Mrs Thao ’s money,Mrs Thao ’s money could be expressed in ways that,Gratitude for Mrs Thao’s money could be expressed in ways that do not erase what the donation is meant to protect
4,0,0,0,0,A summerhouse,is much more than a physical structure ; it ’s,"A summerhouse is much more than a physical structure; it’s the base for a culture of reconnecting with friends and family in fresh, stress-free settings"
5,Blinken,is known for his unflappable calm for his mordant intensity,0,0,Blinken,his unflappable calm and Lavrov for his mordant intensity .,"➡️Veteran diplomats who have encountered each other for years, Blinken is known for his unflappable calm and Lavrov for his mordant intensity"
6,Raab,has also been formally named as deputy prime minister,0,0,Raab,"has also been formally named as deputy prime minister ,","➡️Raab has also been formally named as deputy prime minister, a role he previously held on a de facto basis, but has lost his more senior role of foreign secretary  

Follow live updates"
7,0,0,0,0,0,Retail giant claims to be ethical yet continues to sell,🔴 Retail giant claims to be ethical yet continues to sell everyday essential foods in Russia
8,We,have received huge military help,Obolon,0,We,"received huge military help from Britain , said Captain Yuriy","🗣️  We have received huge military help from Britain,  said Captain Yuriy Myronenko, whose battalion is stationed in Obolon on the northern outskirts of Kyiv"
9,yourself,climbing the stairs,0,0,you,a quick test to see how your heart is coping,"2⃣Time yourself climbing the stairs
 
⏱️If you want a quick test to see how your heart is coping, climb four flights of stairs (60 steps) and time yourself"
10,release,had taken too long to resolve,0,0,he,felt quite choked up about the release of Nazanin Zaghari,"🔵 Jeremy Hunt has said he felt  quite choked up  about the release of Nazanin Zaghari-Ratcliffe, admitting it had taken  too long  to resolve.

David Cameron also said her release was  a piece of good news that we’ve all been waiting to hear"
11,Storm Eunice,is affecting flights,0,0,Storm Eunice,0,"❌Storm Eunice is affecting flights, with some airports cancelling all departures.

Heres how to claim compensation 👇"
