date,text
2022-03-19T19:02:25+00:00,American killed in Ukraine refused to postpone trip to help sick partner
2022-03-19T19:02:25+00:00,Australia may be far from Ukraine but we won’t avoid the economic fallout of war
2022-03-19T18:58:00+00:00,Track or treat: how a Netflix show gave millions a new passion for sport
2022-03-19T18:49:53+00:00,‘There is no escape’: inside a hospital in Ukraine
2022-03-19T18:32:57+00:00,All eyes on your food waste – in pictures
2022-03-19T17:55:39+00:00,Padovani’s late try gives Italy historic Six Nations win against turgid Wales
2022-03-19T17:44:34+00:00,Blind date: ‘I thought she was an absolute babe – and out of my league!’
2022-03-19T17:41:14+00:00,"Russia-Ukraine war latest: 190,000 civilians evacuated from frontline, says Ukraine, as Poland calls for EU-Russia trade ban – live"
2022-03-19T17:40:43+00:00,Returning fans turn Cheltenham Festival into Christmas for grownups
2022-03-19T17:21:26+00:00,Booker winner Ben Okri rewrites published novel to drive home message on slavery
2022-03-19T17:13:29+00:00,The restaurants we love are woven into our lives | Rachel Cooke
2022-03-19T17:08:32+00:00,The week in audio: the best podcasts on the conflict in Ukraine
2022-03-19T17:07:33+00:00,Matej Mohoric rewarded for late risks with victory in Milan-Sanremo
2022-03-19T17:05:57+00:00,Bournemouth step up promotion bid with emphatic win at Huddersfield
2022-03-19T17:01:21+00:00,Ireland v Scotland: Six Nations 2022 – live!
2022-03-19T16:57:26+00:00,Biarritz curbs holiday lets to make way for locals
2022-03-19T16:51:22+00:00,If you find everyone else boring you only have yourself to blame
2022-03-19T16:43:13+00:00,Kate Mosse: ‘A taxi driver said I wasn’t as tall as he’d expected. He thought he was picking up Kate Moss’
2022-03-19T16:36:33+00:00,FIA report blames ‘human error’ for Abu Dhabi GP controversy but result stands
2022-03-19T16:26:48+00:00,Middlesbrough v Chelsea: FA Cup quarter-final – live!
2022-03-19T16:21:42+00:00,Walks of a lifetime: six epic mountain hikes across Europe
2022-03-19T16:12:00+00:00,Guardian angel: is there a special someone you think deserves a treat?
2022-03-19T16:05:29+00:00,Six measures Rishi Sunak could take to combat UK’s cost-of-living crisis
2022-03-19T15:59:46+00:00,Time the planting right and you’ll have vases of blooming gladioli all summer long | Alys Fowler
2022-03-19T15:49:11+00:00,"With 37 million in lockdown and Covid plans under fire, Chinese ask: what comes next?"
2022-03-19T15:43:19+00:00,"Mike Gayle on the legacy of lockdown: I was so lucky to have my wife to laugh, cry and yell at the TV with"
2022-03-19T15:32:32+00:00,Murder investigation over death of woman at student flat in London
2022-03-19T15:27:51+00:00,Boris Johnson appears to liken Ukrainians' fight to British people voting for Brexit – video
2022-03-19T15:25:44+00:00,Sheffield United sink Barnsley to boost Championship promotion push
2022-03-19T15:21:34+00:00,‘We were messing around with the bubbles’: Greg Williams’ best phone picture
2022-03-19T15:15:11+00:00,Four US marines killed in Norway plane crash during Nato exercise
2022-03-19T15:00:59+00:00,Blooming great: how to buy flowers for Mother’s Day – or just for a treat
2022-03-19T14:41:42+00:00,Richard Ratcliffe’s long years of waiting for sunlight – and Nazanin
2022-03-19T14:36:27+00:00,'I wrote what I feel': Russian tennis player Andrey Rublev on his 'no war' moment - video
2022-03-19T14:20:43+00:00,There could never be an ‘Elona’ Musk – women are held to far higher standards than men | Arwa Mahdawi
2022-03-19T14:13:53+00:00,NoViolet Bulawayo: ‘I’m encouraged by this new generation that wants better’
2022-03-19T14:07:34+00:00,From charred sweet potatoes to bread and gravy: Gordon Ker’s side dish recipes to serve with chops of any kind
2022-03-19T13:51:52+00:00,"Huddersfield v Bournemouth, Napoli v Udinese: football clockwatch – live!"
2022-03-19T13:35:15+00:00,Ipswich Women ready to show their mettle against West Ham in FA Cup
2022-03-19T13:26:51+00:00,Wales v Italy: Six Nations 2022 – live!
2022-03-19T13:24:11+00:00,"West Indies v England: second Test, day four – live!"
2022-03-19T12:48:45+00:00,Miami rapper Baby Cino shot dead after leaving prison
2022-03-19T12:35:30+00:00,California: kidnapper sentenced in case police first said was ‘Gone Girl’ hoax
2022-03-19T12:19:31+00:00,"Unless we act, escalating commodity prices will cause a decade of global turmoil | Rupert Russell"
2022-03-19T12:03:45+00:00,"As the bombs drop and refugees flee for their lives, remember Ukraine’s children | Justin van Fleet"
2022-03-19T11:37:19+00:00,William and Kate cancel Belize village trip due to protests
2022-03-19T11:09:53+00:00,‘We are a family’: the former Spurs footballer running a team for kids with Down’s syndrome
2022-03-19T10:56:31+00:00,Russia-Ukraine war latest: Russia says it has used hypersonic missile; Zelenskiy urges ‘honest’ peace talks – live
2022-03-19T10:55:35+00:00,Australia chase down record total to win World Cup thriller
2022-03-19T10:36:13+00:00,Facebook’s solidarity with Ukraine is impressive. Now extend it to others | Moustafa Bayoumi
2022-03-19T10:31:26+00:00,My sleepy brain loves the sound of permanent daylight savings. But do scientists agree?
2022-03-19T10:24:27+00:00,Ditch single-use lipsticks – make like Rihanna and embrace refillables | Sali Hughes
2022-03-19T10:11:27+00:00,Modernist love: stylish 1930s living in the Isokon building
2022-03-19T10:06:00+00:00,"In this week's episode of Politics Weekly UK, host @johnharris1969 is joined by Ukrainian MP @kiraincongress, in Kyiv, to discuss how her and fellow MPs are running the country despite Russian aggression.

🎧 Listen wherever you get your podcasts."
2022-03-19T09:56:28+00:00,‘Aggressive’ Lewis Hamilton ready to compete for eighth world title | Giles Richards
2022-03-19T09:49:37+00:00,Love in the Flesh: it’s Love Island-lite – but have they swapped nudes beforehand?
2022-03-19T09:43:19+00:00,Fears dash for wind power could endanger lost world of Doggerland
2022-03-19T09:36:23+00:00,Booth by Karen Joy Fowler review – background to an assassination
2022-03-19T09:31:39+00:00,Somerset House donor married to oligarch quits board
2022-03-19T09:29:00+00:00,"So much has changed since 1938, but not the very British way of coping with crisis | Ian Jack"
2022-03-19T09:15:00+00:00,"On the edge: Inside this week's @GuardianWeekly

Lviv primes itself for attacks; an oligarch in London.

Subscribe today"
2022-03-19T09:05:37+00:00,A guide to the UK energy security strategy
2022-03-19T09:00:02+00:00,"Don't miss @PeterBradshaw1, @heavier_things, @GuyLodge and @catherineshoard as they give you the lowdown on this year's Oscars!

Book your @guardianlive ticket"
2022-03-19T08:52:37+00:00,"From Paris, 13th District to Bridgerton: a complete guide to this week’s entertainment"
2022-03-19T08:33:44+00:00,Steve Cooper: making of a World Cup winner with Liverpool in his sights
2022-03-19T08:11:59+00:00,Bless you! Meet the flu hunters trying to stop the next pandemic in its tracks
2022-03-19T08:00:13+00:00,Britons in rural areas face crisis as heating oil prices more than triple
2022-03-19T07:44:44+00:00,Dr Xand van Tulleken on the legacy of lockdown: Falling ill made me realise the true wonder of the NHS
2022-03-19T07:36:48+00:00,TV tonight: a murky whodunnit in Welsh crime drama Hidden
2022-03-19T07:26:27+00:00,‘After the victory’: ruined city of Okhtyrka clings to hope of brighter future
2022-03-19T07:14:00+00:00,Shelter gangs and a serial killer: Covid crime surge leaves New York’s unhoused more vulnerable
2022-03-19T07:06:50+00:00,Don’t mention the Partygate: Boris Johnson is buoyant on the world stage
2022-03-19T06:58:59+00:00,How to turn leftover cooked beans into ‘hummus’ – recipe | Waste not
2022-03-19T06:32:58+00:00,‘That’s just Dmitry’: Nasa plays down threat to ISS amid Ukraine war
2022-03-19T06:20:51+00:00,Ukraine’s Zelenskiy calls for urgent peace talks and warns of catastrophe in Mariupol
2022-03-19T06:05:14+00:00,‘A dirty game’: Russians in UK rail at calls to seize oligarchs’ assets
2022-03-19T05:43:15+00:00,The left behind: the dual nationals still in jail in Iran
2022-03-19T05:28:14+00:00,Russia-Ukraine war latest: Zelenskiy urges ‘honest’ peace talks without delay; Russian forces tighten grip around Mariupol – live
2022-03-19T04:13:03+00:00,China reports first coronavirus deaths in over a year amid omicron surge
2022-03-19T01:44:21+00:00,Russia-Ukraine war: what we know on day 24 of the invasion
2022-03-19T00:47:34+00:00,India v Australia: ICC Women’s World Cup – live!
2022-03-19T00:16:05+00:00,Rachael Blackmore reaps Gold Cup reward for sticking with old friend | Barry Glendenning
2022-03-18T23:36:09+00:00,Access no areas: the day wheelchair activists stopped the traffic | Letters
2022-03-18T23:30:36+00:00,‘Ridiculous’: Lawes swats aside talk of Jones’s England job being on the line
2022-03-18T23:26:36+00:00,X’ntigone review – culture wars rage before Freedom Day in Thebes
2022-03-18T23:21:09+00:00,"Iran made Ashoori family raise £27,000 in 12 hours to secure his release"
2022-03-18T23:17:00+00:00,"‘The gates of hell opened’: after decades, Māori survivors of state abuse are finally heard"
2022-03-18T23:06:42+00:00,Blackstenius sets up easy victory for Arsenal over struggling Coventry
2022-03-18T23:00:42+00:00,"Forget Twitter, Instagram and TikTok – try these enchanting stories instead | Letter"
2022-03-18T22:41:07+00:00,Syrian president Bashar al-Assad visits UAE in attempt to come in from the cold
2022-03-18T22:34:20+00:00,"Death of sexual assault survivor in therapy preventable, inquest finds"
2022-03-18T22:30:11+00:00,Cheaper by the Dozen review – breezy Disney remake of family comedy
2022-03-18T22:30:09+00:00,Gauging the benefits of prayers for peace | Letters
2022-03-18T22:26:49+00:00,The media spotlight on Afghanistan is fading fast – but the agony of its people is far from over | Ayesha Jehangir
2022-03-18T22:23:46+00:00,Talking Horses: Time To Get Up can pay National debt at Uttoxeter
2022-03-18T22:15:33+00:00,Leeds pull off thrilling comeback as Ayling grabs victory at Wolves
2022-03-18T22:10:41+00:00,Avoiding Paris pain would only paper cracks for Jones’s maddening England | Robert Kitson
2022-03-18T22:00:27+00:00,"Guardian front page, Saturday 19 March 2022: Threat of unlimited fine as anger over P&amp;O grows"
2022-03-18T21:53:59+00:00,Ex-officer who shot and killed unarmed US teen convicted of negligent homicide
2022-03-18T21:50:44+00:00,"Growing up in the shadow of the bomb, in the 60s, the 80s and now | Letters"
2022-03-18T21:49:09+00:00,The Guardian view on P&amp;O’s betrayal of workers: capitalism’s unacceptable face
2022-03-18T21:41:27+00:00,Drone video shows destroyed residential buildings and shopping centre in Ukraine – video
2022-03-18T21:36:10+00:00,"Restless, ruthless, obsessive … but Galthié has France reaching new heights | Jonathan Liew"
2022-03-18T21:31:25+00:00,Deshaun Watson: Star quarterback to accept trade to Browns on $230m deal
2022-03-18T21:21:12+00:00,Russian oligarch’s yacht stuck in Norway as suppliers refuse to refuel
2022-03-18T21:15:44+00:00,"Fewer Americans smoked during first year of pandemic, study shows"
2022-03-18T21:02:30+00:00,‘It’s not a publicity stunt’: the push to elect female MPs to PNG’s men-only parliament
2022-03-18T20:56:43+00:00,Jacinda Ardern united New Zealanders when Covid hit. Then a long second lockdown split ‘the team of 5 million’ | Morgan Godfery
2022-03-18T20:52:24+00:00,‘He’s been terrific’: Wales’s Adams full of praise for returning Rees-Zammit
2022-03-18T20:47:12+00:00,He’s Dead review – was Tupac Shakur depressed?
2022-03-18T20:39:56+00:00,‘I was susceptible to being taken advantage of’: Be Your Own Pet on surviving sleazy indie
2022-03-18T20:37:35+00:00,Dame Helen Mirren as the Shame Wizard: Human Resources is Big Mouth’s star-packed spin-off
2022-03-18T20:26:40+00:00,Steve Gibson and sanctions leave Chelsea facing tough tie at Riverside
2022-03-18T20:26:40+00:00,Erling Haaland and the £300m question: how much is too much? | Barney Ronay
2022-03-18T20:10:09+00:00,Champions League quarter-finals: tie-by-tie analysis and verdicts | Jonathan Wilson
2022-03-18T20:10:08+00:00,Tory MP heckled by protesters at demonstration against P&amp;O Ferries in Dover – video report
2022-03-18T20:05:39+00:00,Same-sex kiss restored to Toy Story prequel after backlash – report
2022-03-18T19:51:49+00:00,Cocktail of the week: Tommy Heaney’s delicious highball – recipe | The good mixer
2022-03-18T19:45:11+00:00,Windfall review – talky Netflix crime thriller brings little reward
2022-03-18T19:26:36+00:00,Putin praises Russian ‘unity’ at rally as glitch cuts state TV broadcast
2022-03-18T19:17:56+00:00,Guess co-founder denies sexual harassment claims after models file lawsuit
2022-03-18T19:10:41+00:00,Winds and dry conditions fuel multiple Texas wildfires as hundreds evacuate
2022-03-18T19:10:40+00:00,Wolves v Leeds: Premier League - live!
2022-03-18T19:09:13+00:00,"Recycled plastic bottles leach more chemicals into drinks, review finds"
