date,text
2022-06-09T14:15:03+00:00,🔴 Exclusive: Ukraine forces 'outgunned up to 40 to one' by Russian forces
2022-06-09T14:13:08+00:00,Italy braces itself for more unruly visitors following Spanish Steps damage
2022-06-09T14:12:01+00:00,"🔴 Watch: Boris Johnson confirms plans to extend Right to Buy scheme

Follow live ➡️"
2022-06-09T14:08:51+00:00,The ‘grotesque’ Andrew Garfield film that prompted festival walkouts
2022-06-09T14:08:50+00:00,Botswana tight lipped on the value of its ivory stockpile
2022-06-09T14:08:02+00:00,🚨 Britons captured in Ukraine war sentenced to death by separatist court
2022-06-09T14:06:00+00:00,Opinion: Would you tell a white person criticising the monarchy they were ‘disloyal’?
2022-06-09T14:03:08+00:00,Meet the champion snowboarder who has no feeling below her knees
2022-06-09T14:01:48+00:00,Pussy Riot activist Aysoltan Niyazova released from Croatia jail
2022-06-09T13:55:43+00:00,Complaint against India’s ruling party official over prophet Muhammad remarks
2022-06-09T13:51:08+00:00,Jeremy Hunt condemns Government decision to allow gas drilling in rural Surrey
2022-06-09T13:51:07+00:00,Indian couple begs for money to get their son’s body from hospital in viral video
2022-06-09T13:47:14+00:00,🔴 PGA Tour suspend LIV Golf players with immediate effect
2022-06-09T13:46:27+00:00,🔴 The Jan 6 committee investigating last year’s attacks on the Capitol building is planning to launch the primetime hearings today by playing unreleased videos of former president’s aides and family members
2022-06-09T13:46:26+00:00,🔴 A former GOP insider tells The Independent that Donald Trump will “lose his mind” when he watches the January 6 committee hearings on the Capitol riot on Thursday evening and realises no one is there to interject on his behalf.
2022-06-09T13:46:26+00:00,"🔴 Donald Trump privately asked to be taken to the Capitol Hill building on January 6 last year to join his supporters, a report has revealed."
2022-06-09T13:46:26+00:00,"🔴 Jan 6 hearings - live: Ivanka Trump testimony could be opening item

Follow for more updates ⤵️"
2022-06-09T13:45:38+00:00,Bali’s new digital nomad visa will let you live there tax free
2022-06-09T13:41:13+00:00,Comair collapse: British Airways South African partner won’t fly again
2022-06-09T13:38:00+00:00,Original Scream stars support Neve Campbell after she drops out of new movie
2022-06-09T13:36:40+00:00,Opinion: Johnson was the only thing protecting the north of England – what now?
2022-06-09T13:34:51+00:00,The Royals certainly don't want a big issue made out of this 👀
2022-06-09T13:33:22+00:00,Here are some unsolved mysteries from reddit
2022-06-09T13:32:02+00:00,Meta stops development of the ‘Facebook smartwatch’
2022-06-09T13:32:01+00:00,Keir Starmer accuses Boris Johnson of taking ‘wrecking ball’ to UK-Irish relations
2022-06-09T13:28:46+00:00,Joe Biden jokes about ‘sending Republicans to jail’ on Jimmy Kimmel
2022-06-09T13:26:24+00:00,Chinese man files for divorce after paternity tests show daughter are not his
2022-06-09T13:26:21+00:00,PM’s plan to allow people to use benefits for mortgages ‘detached from reality’
2022-06-09T13:23:53+00:00,"As novelist Tom Perrotta publishes a sequel about the ambitious schoolgirl immortalised by Reese Witherspoon, @@amandamwhiting asks: was a teenage girl striver who baked 200 cupcakes to influence a class election really a villain for our times?"
2022-06-09T13:23:52+00:00,"Yes, your dying houseplant is making you sad"
2022-06-09T13:20:45+00:00,Piles of trash in Nepal’s capital put off tourists and residents
2022-06-09T13:16:42+00:00,"At least 10 people dead and nearly 300,000 evacuated after flooding in China’s Hunan"
2022-06-09T13:11:19+00:00,George Ezra’s Gold Rush Kid is the affable pop we’ve come to expect – review
2022-06-09T13:10:02+00:00,Jan 6 hearings - live: Ivanka Trump testimony could be opening item
