date,text
2021-09-19T17:44:00+00:00,I would never read a book because it had been commissioned as part of a diversity and inclusion programme’ and I would never admire a work of art simply because it had emerged from a person of the right colour. | Writes @realzoestrimpel
2021-09-19T17:25:12+00:00,"I motioned that I would add soap to my shopping list but in reality I had no intention of doing so. Because, the truth is, we just don’t use it.

Find out why Marina Fogle has ditched soap for good 👇"
2021-09-19T17:16:01+00:00,👗👠Here are the highlights from the spring/summer 2022 collections so far...
2021-09-19T17:05:30+00:00,"For at least two generations of football fans, he remains the most accomplished practitioner of his art. Finisher or television star: nobody could match Jimmy Greaves."
2021-09-19T16:55:20+00:00,"I love a good coffee shop and vegan restaurant, and I’m glad people write books and make television shows, but being in an environment where there are no signs, no people and no buildings is so calming."
2021-09-19T16:45:42+00:00,"💷 Investors have stepped up bets against sterling in the past few weeks, with positioning on the currency now at its most negative since last summer."
2021-09-19T16:27:53+00:00,The most important priority is to make clear what they are – otherwise lots of people are going to spend time and money working on potential takeover deals that will never be permitted. | Writes @mattlynnwriter
2021-09-19T16:17:30+00:00,"The Countryfile presenter said it felt like losing a part of you, part of your sexual identity and part of your experience of motherhood

This article is free to read 👇"
2021-09-19T16:10:01+00:00,"🇵🇭 Philippine boxer-turned-politician Manny Pacquiao has declared he will run for president in 2022, ending months of speculation about whether the legendary fighter would seek the countrys top job."
2021-09-19T16:01:48+00:00,"📝 Fancy yourself as a writer? If you can’t be deterred, there’s a good place to find out what you’ll be letting yourself in for: writers’ letters.  

Here are five of @Orlando_bird favourites 👇"
2021-09-19T15:54:22+00:00,"New Yorkers are being told to crush an invasion of bright plant-killing lanternflies that have made the city their home over the pandemic and secrete a sticky honey-like substance that suffocates native plants.

Read the full story 👇"
2021-09-19T15:44:19+00:00,The most pressing debate to come out of the Aukus controversy should be about whether the EU countries are ever going to be able to deliver a diplomatic punch equivalent to their (still-considerable) economic weight. | @ @oflynnsocial
2021-09-19T15:35:54+00:00,"Men could be cured of prostate cancer in a week using larger doses of precision radiotherapy, scientists believe.

A trial will begin this week at the London Royal Marsden Hospital to find out whether it is safe to radically speed up treatment."
2021-09-19T15:25:48+00:00,"It’s a reality that could happen as American politicians wrangle over President Joe Biden’s $3.5 trillion (£2.6 trillion) spending boost which seems likely to go down to the wire. 

Read the full story 👇"
2021-09-19T15:16:50+00:00,"🎵 It’s not often that a rapper manages to aggravate both the religious Right and Nike in the same year, yet alone within the same artistic project, but then artists like Lil Nas X don’t come around very often either.

Read the full story 👇"
2021-09-19T15:07:59+00:00,"I couldn’t do with a man who lounged on the couch and drank beer. I shared with Danny how I run a house – these are the things that are important to me and you have to pull your weight.  

@JuLlewellyn talks to Strictly head judge Shirley Ballas 👇"
